Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 13 (%);H 25 (%);H 26 (%);H 27 (%);H 28 (%);H 29 (%);H 31 (%);H 34 (%);H 36 (%);H 37 (%);H 38 (%);H 39 (%);H 40 (%);H 41 (%);H 42 (%);H 43 (%);H 44 (%);H 45 (%);H 46 (%);H 47 (%)
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;110;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;162;141;87%;11%;29%;60%;64%;61;75;67;77;59;65;52;65;67;;77;55;63;76;58;67;;49;70;56
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;3881;3367;87%;21%;31%;49%;54%;54;69;68;68;51;58;45;50;54;40;62;50;56;53;51;57;0;30;61;48
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;50;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;183;179;98%;11%;33%;56%;59%;58;73;63;73;59;53;55;63;57;69;74;49;61;69;54;64;40;35;64;55
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;187;147;79%;20%;28%;52%;56%;49;67;20;70;43;63;48;50;61;75;72;;53;63;50;54;40;;71;53
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;822;709;86%;18%;21%;62%;60%;60;70;66;72;48;69;58;59;57;25;71;61;56;68;62;66;35;38;70;54
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;125;68;54%;6%;19%;75%;70%;75;76;57;82;52;74;51;79;75;73;74;87;66;74;74;62;58;100;80;74
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;284;274;96%;8%;19%;73%;69%;65;76;72;81;62;75;70;79;67;70;75;70;70;80;62;78;59;58;77;60
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;940;15;2%;0%;13%;87%;77%;60;100;47;87;67;;93;100;93;80;73;73;100;93;83;;53;40;80;80
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;19317;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;750;680;91%;5%;12%;84%;75%;77;78;83;88;67;78;71;75;77;;79;69;77;83;67;82;;53;86;73
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;54;67%;15%;33%;52%;59%;58;72;69;76;49;56;57;54;59;;74;59;67;57;52;65;;30;63;58
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;135;128;95%;5%;6%;89%;76%;70;94;24;89;70;89;86;87;64;;78;80;74;88;84;91;;65;79;71
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;76;94%;5%;22%;72%;70%;72;89;58;80;56;71;66;64;80;84;82;67;58;72;73;61;51;23;79;61
HORIZONTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;192;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;387;322;83%;17%;23%;60%;61%;59;79;69;76;55;69;52;61;63;;69;57;59;65;56;65;;42;69;53
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;272;265;97%;7%;22%;71%;66%;65;82;78;85;53;69;60;74;68;;80;62;66;61;64;72;;44;77;59
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;721;635;88%;18%;36%;46%;55%;54;66;64;69;48;57;47;57;58;60;68;51;52;55;49;57;13;40;60;52
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;244;133;55%;17%;29%;55%;56%;52;69;44;71;56;60;50;56;56;80;72;51;56;52;56;62;55;33;66;49
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;163;155;95%;14%;21%;65%;62%;66;77;70;81;57;52;54;61;62;;71;54;65;63;61;67;;45;70;53
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;127;98%;24%;13%;64%;58%;57;72;40;73;47;65;61;52;65;85;72;58;59;38;70;61;45;21;64;50
IPU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;209;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;342;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;93;88;95%;14%;24%;63%;64%;61;81;72;80;52;65;61;63;61;;69;57;72;78;65;73;;43;69;58
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;840;782;93%;18%;26%;56%;58%;54;71;54;74;54;64;47;55;59;75;69;55;59;60;58;65;40;36;64;51
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;628;564;90%;17%;24%;59%;59%;59;72;61;73;53;69;52;54;59;75;72;52;57;58;56;67;46;40;68;56
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;293;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
JAGUARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;421;398;95%;13%;28%;59%;60%;57;79;64;76;54;67;50;60;60;81;75;53;59;56;56;69;49;39;70;54
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;355;338;95%;14%;25%;61%;60%;63;69;64;75;54;59;45;59;64;77;70;53;53;54;53;71;42;41;69;56
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;102;14;14%;14%;64%;21%;44%;38;71;71;50;11;64;43;79;36;;71;21;29;43;57;43;;36;36;36
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;686;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;289;98%;11%;15%;75%;69%;68;84;55;79;59;78;61;76;68;80;75;69;71;76;74;77;46;51;78;62
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;577;532;92%;12%;14%;74%;66%;68;83;35;83;50;72;61;59;73;82;84;65;64;;66;77;53;;71;62
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;265;225;85%;13%;23%;64%;63%;59;80;74;79;60;61;52;71;66;;76;58;64;68;60;68;;45;68;54
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;41;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;483;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;202;149;74%;5%;17%;78%;71%;73;83;62;85;59;66;62;76;81;87;82;63;65;79;82;67;55;59;78;65
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;476;450;95%;5%;18%;78%;72%;69;85;82;87;66;75;59;72;69;;81;69;64;74;72;77;;60;81;69
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;579;468;81%;21%;27%;52%;58%;59;72;69;76;58;62;42;49;62;67;69;51;50;60;52;66;40;36;67;55
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;229;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;42;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
MIRAIMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;19;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;18;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;132;123;93%;9%;28%;63%;62%;57;71;69;81;58;62;64;56;66;;74;52;59;62;60;73;;46;76;54
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;627;546;87%;17%;25%;57%;58%;54;75;68;75;55;61;55;58;60;;68;52;50;60;55;58;;39;69;48
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;186;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;112;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;207;202;98%;0%;0%;100%;93%;96;95;95;98;94;91;85;94;95;93;95;100;94;94;96;95;92;100;91;92
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;367;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;277;94%;18%;22%;60%;59%;63;80;28;75;49;61;54;52;64;76;76;51;62;75;59;70;41;0;59;56
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;250;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;75;73;97%;18%;19%;63%;61%;59;77;71;78;54;60;51;63;62;;60;56;60;63;63;59;;47;75;60
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;85;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;113;104;92%;11%;18%;71%;67%;67;83;55;80;56;70;61;67;75;86;78;57;63;67;69;60;46;64;76;60
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;634;584;92%;14%;25%;62%;61%;60;73;73;80;52;66;52;57;62;75;71;64;58;60;60;70;37;34;71;56
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;36;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;451;417;92%;0%;0%;100%;99%;99;99;98;99;98;99;98;99;99;99;98;99;98;100;99;99;98;98;100;96
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;649;410;63%;25%;31%;44%;53%;51;66;23;64;43;51;48;41;58;69;68;;50;55;48;60;39;;59;51
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;166;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;323;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;34;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;136;136;100%;1%;0%;99%;95%;93;99;85;96;88;91;96;95;98;98;97;;90;99;96;96;95;0;97;94
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;157;139;89%;12%;26%;62%;63%;63;76;79;79;55;71;55;56;63;;71;60;69;56;57;70;;47;67;51
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;145;126;87%;10%;29%;61%;58%;59;77;27;82;48;58;52;52;60;82;83;53;54;;48;64;42;;64;65
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;83;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;162;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1024;888;87%;6%;14%;81%;74%;74;81;73;88;68;81;70;75;79;85;82;66;73;76;70;77;50;44;77;74
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;227;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;415;394;95%;13%;24%;63%;62%;63;76;71;76;60;63;48;58;60;0;72;56;56;66;59;71;0;45;70;59
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;62;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;172;131;76%;13%;32%;55%;60%;54;71;71;78;50;61;51;56;64;100;78;51;67;62;53;75;33;29;66;58
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;148;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;89;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;209;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;460;31;7%;10%;23%;68%;65%;49;90;35;68;61;;61;71;79;94;68;61;74;58;68;;55;52;84;65
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;67;66;99%;14%;23%;64%;63%;62;80;82;74;57;71;58;64;65;;74;55;50;61;70;65;;44;67;55
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;178;171;96%;12%;23%;65%;64%;56;82;61;83;53;69;60;63;69;83;77;57;63;68;61;73;43;41;69;56
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;310;140;45%;8%;26%;66%;62%;61;81;54;74;52;64;53;67;67;88;73;49;57;70;62;73;41;44;73;60
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;557;10;2%;10%;0%;90%;76%;80;90;100;90;95;90;0;;85;90;90;;;90;80;80;0;0;90;95
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;259;16;6%;6%;44%;50%;55%;50;81;63;75;56;69;31;63;69;;50;13;63;63;50;50;;31;63;59
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1067;877;82%;20%;26%;55%;58%;56;73;67;71;55;62;53;52;57;76;67;54;55;59;54;65;46;39;65;49
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;634;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;503;394;78%;13%;24%;63%;63%;57;71;62;71;58;71;69;65;60;62;71;60;51;67;66;76;49;49;68;58
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;298;235;79%;17%;34%;49%;58%;61;70;68;69;47;58;34;63;60;;75;60;63;58;55;68;;24;67;51
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;298;133;45%;35%;26%;39%;50%;48;65;49;59;49;53;43;48;45;63;66;49;55;47;49;55;29;32;49;43
