Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 08 (%);H 09 (%);H 12 (%);H 14 (%);H 17 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 26 (%);H 29 (%)
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;303;258;85%;25%;15%;60%;74%;93;89;73;78;63;65;50;70;73;89;75
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;291;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BAIXIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;54;21;39%;14%;38%;48%;75%;73;100;43;93;62;76;74;88;48;89;86
BANABUIU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;265;205;77%;42%;22%;36%;63%;75;78;56;66;52;60;53;69;49;72;58
BARREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;331;315;95%;31%;24%;45%;70%;91;88;58;76;56;62;53;66;52;86;75
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;202;21;10%;52%;14%;29%;58%;89;86;46;60;48;43;33;60;44;75;50
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;404;246;61%;27%;25%;48%;73%;88;80;63;77;58;67;57;78;56;86;79
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;400;334;84%;33%;26%;41%;71%;90;82;57;74;49;69;53;69;61;88;74
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;299;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;853;576;68%;31%;26%;43%;73%;89;85;58;77;55;68;61;79;44;85;76
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;644;612;95%;31%;25%;43%;69%;91;89;58;74;53;59;52;68;56;86;72
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;883;738;84%;30%;22%;48%;70%;92;89;70;73;57;64;44;72;64;92;63
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;315;274;87%;35%;29%;36%;68%;81;77;54;72;55;64;55;72;42;79;75
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;930;44;5%;39%;30%;32%;67%;86;85;45;64;56;60;41;70;36;86;75
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;218;192;88%;30%;20%;49%;71%;91;89;67;76;48;63;49;69;67;91;71
CARIRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;265;257;97%;9%;11%;80%;84%;96;96;82;87;72;82;65;79;79;97;88
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;209;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;200;196;98%;14%;13%;72%;80%;99;96;79;87;65;78;49;74;77;97;79
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;325;280;86%;38%;29%;33%;66%;82;86;49;70;48;58;54;67;54;83;66
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;709;79;11%;38%;34%;28%;65%;71;61;55;70;53;59;52;71;58;80;68
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;136;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;164;130;79%;25%;26%;49%;71%;95;89;64;77;57;67;42;66;63;92;75
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;4374;3723;85%;37%;22%;41%;66%;87;85;65;71;49;56;42;63;61;86;68
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;197;178;90%;35%;30%;34%;70%;91;85;53;71;45;61;53;74;52;87;79
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;184;2;1%;0%;50%;50%;82%;100;50;50;75;75;100;75;75;75;100;100
COREAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;935;846;90%;35%;20%;44%;67%;83;81;62;71;53;61;45;66;60;85;69
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1385;1123;81%;33%;25%;41%;67%;80;75;60;71;51;67;54;64;57;86;69
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;284;264;93%;20%;24%;56%;75%;92;90;61;81;55;77;61;71;59;88;77
DEPUTADO IRAPUAN PINHEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;87;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;120;104;87%;27%;29%;44%;72%;95;88;64;77;49;67;47;63;66;89;74
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1141;1040;91%;24%;24%;52%;73%;83;76;60;80;58;75;62;75;56;88;73
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;250;236;94%;26%;22%;52%;74%;89;92;66;76;52;72;53;74;57;87;78
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;252;211;84%;19%;21%;60%;78%;90;91;74;81;64;74;71;80;63;87;76
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;
FRECHEIRINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;271;260;96%;24%;27%;49%;72%;92;86;69;79;53;72;49;65;68;92;70
GENERAL SAMPAIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;119;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GRACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;205;197;96%;15%;16%;69%;78%;95;93;75;85;66;78;61;74;73;91;82
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;835;798;96%;26%;18%;56%;72%;91;85;72;70;63;69;58;67;70;90;72
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;76;12;16%;50%;42%;8%;53%;100;71;42;56;25;58;42;54;42;50;58
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;122;119;98%;15%;27%;58%;78%;92;88;63;83;61;82;67;80;63;92;74
GUAIUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;395;242;61%;34%;33%;33%;67%;87;77;53;72;53;61;52;64;56;79;70
GUARACIABA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;664;597;90%;21%;30%;49%;78%;89;88;54;84;54;75;67;79;59;88;84
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;72;70;97%;24%;43%;33%;68%;89;89;54;74;49;69;43;75;47;89;68
HIDROLANDIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;265;205;77%;24%;27%;49%;74%;83;82;62;81;50;69;59;76;60;89;76
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;159;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;347;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;295;246;83%;35%;25%;40%;67%;88;89;58;72;47;61;46;64;59;84;67
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;629;79;13%;29%;33%;38%;67%;84;87;55;74;53;62;49;60;59;91;74
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;935;785;84%;53%;21%;26%;58%;79;79;50;58;40;53;39;58;47;74;59
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;218;176;81%;11%;24%;65%;80%;89;94;73;87;74;85;83;88;67;67;85
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;188;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;137;106;77%;34%;32%;34%;69%;80;75;59;73;48;65;67;73;32;84;80
IPUEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;482;352;73%;7%;16%;77%;82%;91;96;85;79;83;94;91;93;45;94;53
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;166;146;88%;29%;26%;45%;68%;81;88;62;74;54;52;44;62;61;81;76
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;378;344;91%;17%;24%;59%;77%;94;91;73;79;65;71;59;75;72;91;78
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;109;107;98%;21%;17%;63%;75%;97;94;75;77;64;75;41;71;67;95;75
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;499;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;467;348;75%;23%;36%;41%;74%;88;87;60;79;51;68;62;80;50;86;79
ITAPIUNA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;221;206;93%;33%;35%;32%;67%;87;83;56;70;49;63;44;57;57;85;75
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;87;0;0%;0%;0%;0%;0%;;;;;;;;;;;
JAGUARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;271;195;72%;32%;29%;38%;68%;85;82;58;69;51;66;61;71;49;78;68
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;148;123;83%;32%;23%;46%;70%;90;88;58;74;52;67;52;64;53;88;67
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;474;423;89%;28%;30%;41%;71%;88;91;57;75;51;69;56;72;55;87;73
JAGUARUANA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;341;329;96%;32%;22%;47%;67%;90;88;66;74;49;67;45;62;61;88;69
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;386;352;91%;38%;34%;28%;66%;79;74;58;71;48;64;55;66;43;84;71
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;114;88;77%;51%;30%;19%;55%;86;66;52;60;39;38;35;55;47;84;59
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1068;0;0%;0%;0%;0%;0%;;;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;303;266;88%;19%;27%;54%;76%;94;93;64;84;60;77;55;71;57;87;79
LAVRAS DA MANGABEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;215;0;0%;0%;0%;0%;0%;;;;;;;;;;;
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;615;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;277;235;85%;23%;28%;50%;75%;85;87;63;81;58;74;61;75;61;89;80
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;3145;2942;94%;37%;22%;42%;66%;89;86;63;69;50;58;40;62;61;86;65
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1262;1055;84%;24%;30%;45%;73%;86;90;54;76;55;72;65;80;57;88;75
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;525;430;82%;27%;28%;45%;71%;88;88;65;74;58;71;51;71;55;85;71
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;194;155;80%;25%;25%;51%;73%;84;83;63;82;58;71;63;73;65;83;76
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;514;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;621;497;80%;44%;21%;35%;62%;68;74;54;68;46;60;49;60;58;70;63
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;261;248;95%;15%;17%;68%;82%;90;96;73;85;73;79;77;85;69;92;81
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;281;272;97%;31%;35%;34%;65%;91;94;56;71;50;67;44;64;52;86;69
MILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;162;162;100%;19%;32%;49%;79%;91;88;67;84;63;70;70;82;64;93;83
MISSAO VELHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;66;64;97%;28%;39%;33%;70%;80;80;56;69;41;70;68;74;36;81;77
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;446;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;162;85;52%;32%;18%;51%;69%;86;85;51;75;65;68;64;72;51;81;64
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;632;194;31%;50%;17%;33%;59%;88;82;60;60;46;46;34;58;54;82;53
MORRINHOS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;278;232;83%;21%;20%;59%;76%;95;90;72;83;62;75;54;75;64;90;71
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;210;142;68%;69%;15%;15%;56%;89;78;51;33;45;66;27;63;36;81;57
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;170;139;82%;29%;32%;39%;73%;91;86;61;78;45;66;61;79;50;87;78
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;246;213;87%;5%;9%;85%;90%;96;87;84;91;83;92;86;87;85;96;91
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;363;234;64%;26%;36%;38%;72%;83;81;50;78;45;65;62;78;47;84;83
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;416;0;0%;0%;0%;0%;0%;;;;;;;;;;;
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;290;270;93%;30%;26%;44%;70%;89;90;63;73;55;62;52;67;59;86;69
OROS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;252;237;94%;22%;27%;51%;71%;94;87;67;80;43;70;50;67;65;95;77
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;238;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PACATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;994;868;87%;35%;29%;37%;71%;89;87;50;73;50;63;54;72;41;84;78
PACOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;132;128;97%;13%;31%;55%;75%;94;98;68;82;59;78;53;68;67;96;77
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;129;93;72%;16%;15%;69%;78%;94;92;70;82;67;77;63;70;75;95;81
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;105;100;95%;32%;24%;44%;67%;89;87;63;73;53;59;41;61;61;85;67
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;156;135;87%;19%;39%;41%;75%;70;67;62;84;63;77;73;83;61;88;83
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;546;14;3%;86%;7%;7%;46%;55;54;29;50;32;54;25;46;29;57;50
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;154;85;55%;42%;25%;33%;66%;73;79;53;75;53;69;56;60;44;81;72
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;420;373;89%;1%;11%;89%;91%;91;90;91;92;86;95;87;88;92;93;93
PENAFORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;106;77;73%;14%;31%;55%;77%;92;92;64;81;58;74;77;77;62;89;77
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;413;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;251;249;99%;20%;16%;65%;77%;96;93;73;84;63;73;50;70;76;94;76
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;312;275;88%;36%;17%;46%;68%;92;88;68;69;54;55;41;66;63;87;65
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;179;168;94%;7%;18%;76%;89%;98;96;74;93;84;96;85;86;76;95;87
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;104;102;98%;7%;41%;52%;82%;93;84;58;91;65;84;75;88;48;92;90
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;173;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;95;83;87%;17%;43%;40%;74%;95;93;61;82;67;60;43;45;57;94;82
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;119;108;91%;47%;25%;28%;62%;91;82;54;67;39;60;28;63;53;84;68
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;79;58;73%;17%;24%;59%;74%;98;90;66;84;56;85;50;70;66;91;73
QUITERIANOPOLIS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;268;235;88%;17%;23%;60%;78%;91;89;69;82;61;75;68;82;61;91;81
QUIXADA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;675;0;0%;0%;0%;0%;0%;;;;;;;;;;;
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;207;0;0%;0%;0%;0%;0%;;;;;;;;;;;
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1309;994;76%;29%;23%;47%;71%;83;80;61;73;56;71;63;72;58;83;75
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;264;0;0%;0%;0%;0%;0%;;;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;436;393;90%;35%;34%;31%;67%;80;87;60;72;51;60;28;44;58;90;70
RERIUTABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;172;0;0%;0%;0%;0%;0%;;;;;;;;;;;
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;69;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;201;35;17%;31%;20%;49%;68%;85;91;54;69;64;63;45;67;59;81;74
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;298;257;86%;41%;20%;39%;66%;84;85;59;71;54;53;44;62;57;78;69
SANTA QUITERIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;457;385;84%;27%;29%;44%;71%;83;78;61;77;59;69;58;70;62;85;73
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;377;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;293;247;84%;49%;25%;26%;60%;79;69;48;63;40;55;44;61;52;78;63
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;19;19;100%;21%;21%;58%;74%;97;100;68;84;53;68;58;61;70;89;76
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;61;60;98%;22%;32%;47%;72%;95;95;65;79;50;63;45;70;60;94;75
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;298;232;78%;36%;27%;37%;68%;90;82;53;65;44;70;54;77;54;84;67
