Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 17 (%);H 26 (%);H 27 (%);H 28 (%);H 31 (%);H 32 (%);H 33 (%);H 34 (%);H 35 (%);H 37 (%);H 39 (%);H 40 (%);H 41 (%);H 42 (%);H 43 (%);H 44 (%)
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;448;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;567;484;85%;26%;25%;49%;60%;74;79;58;60;67;47;60;49;51;37;75;55;72;66;38;54
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;84;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
JAGUARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;25;25;100%;12%;32%;56%;65%;92;84;60;68;64;52;48;56;52;60;76;74;72;68;44;76
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;420;375;89%;26%;29%;45%;57%;69;76;54;63;63;41;43;40;42;42;76;61;64;62;33;46
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;171;19;11%;11%;47%;42%;56%;72;84;21;74;63;;16;;53;32;82;74;74;45;24;32
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;104;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;410;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;302;287;95%;21%;16%;63%;65%;78;81;61;67;65;52;44;61;65;43;81;58;79;68;38;67
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;456;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;241;183;76%;14%;29%;57%;66%;81;87;63;64;70;59;60;59;42;53;85;59;72;70;42;63
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;41;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;2;2%;100%;0%;0%;30%;0;25;50;0;100;100;25;100;0;50;0;50;0;0;0;0
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;483;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;210;143;68%;16%;23%;61%;66%;77;80;59;64;66;55;52;63;57;63;83;67;71;76;47;62
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;441;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;596;528;89%;26%;29%;45%;58%;64;71;48;64;67;56;48;50;49;38;80;67;63;58;37;52
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;235;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;42;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;122;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;611;20;3%;20%;10%;70%;70%;73;85;75;85;80;60;45;60;;30;90;;83;65;43;75
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;186;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;111;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;207;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;305;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;367;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;292;282;97%;32%;23%;45%;56%;72;76;49;56;61;53;40;51;41;29;71;53;66;58;37;50
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;250;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;72;68;94%;21%;13%;66%;69%;75;82;85;74;79;65;22;75;;44;87;;81;68;46;65
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;85;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;117;106;91%;24%;11%;65%;62%;72;74;64;66;65;63;57;35;59;51;77;65;74;69;19;62
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;615;36;6%;56%;31%;14%;46%;56;69;64;36;28;61;17;39;;25;67;;50;31;31;34
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;465;412;89%;0%;1%;99%;90%;90;95;91;89;93;91;87;94;92;88;92;93;90;96;67;93
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;352;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;166;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;322;259;80%;27%;27%;46%;57%;73;74;36;56;53;39;33;61;53;31;84;62;46;64;33;48
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;34;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;128;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;105;90;86%;16%;24%;60%;67%;81;83;47;67;68;55;36;79;57;51;81;72;80;74;42;61
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;169;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1079;855;79%;14%;18%;67%;69%;78;78;66;73;71;61;56;64;68;58;83;72;71;73;49;68
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;266;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;91;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;62;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;120;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;150;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SANTA QUITERIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;5;1;20%;0%;100%;0%;55%;50;100;0;100;100;50;100;50;0;50;100;50;50;100;;0
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;208;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;178;168;94%;17%;27%;55%;65%;75;83;73;70;71;60;33;63;50;46;78;68;73;66;40;61
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;20;7%;20%;45%;35%;60%;70;70;70;65;60;65;0;65;40;;73;65;73;75;43;45
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;20;2;10%;0%;50%;50%;61%;100;100;0;50;0;;0;;50;50;100;50;50;50;50;50
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;521;67;13%;19%;15%;66%;70%;73;82;76;73;73;65;60;64;68;53;82;54;70;84;46;74
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;258;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;118;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;634;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;488;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;208;71%;45%;26%;28%;47%;57;65;39;43;42;40;50;37;36;30;72;45;50;53;36;42
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;315;279;89%;29%;30%;40%;56%;70;77;48;58;58;49;41;54;40;37;71;51;64;58;36;55
URUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;171;150;88%;21%;30%;49%;61%;79;66;59;67;71;51;55;49;52;48;82;60;71;61;32;63
VARJOTA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;267;34;13%;9%;24%;68%;74%;82;83;56;71;68;;26;;76;41;82;88;79;85;71;74
VICOSA DO CEARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;726;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
