Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 09 (%);H 17 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%);H 27 (%);H 28 (%);H 30 (%);H 31 (%);H 36 (%);H 38 (%)
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;232;226;97%;11%;16%;73%;74%;92;80;84;83;;72;95;65;66;76;55;57;82
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;23;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;147;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;395;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;201;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;146;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;245;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;307;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;384;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;108;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;230;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;66;44;67%;18%;39%;43%;58%;89;70;;64;32;27;92;63;64;44;31;68;66
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;93;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;127;112;88%;18%;21%;61%;68%;95;75;78;80;49;65;85;57;74;55;61;57;65
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;559;25;4%;24%;40%;36%;55%;76;65;;40;30;40;78;56;68;43;40;68;52
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;495;429;87%;1%;1%;99%;90%;96;92;92;92;86;91;94;90;90;91;85;93;88
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;402;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;332;244;73%;29%;27%;44%;61%;79;60;72;73;48;62;77;57;65;41;57;34;60
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;137;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;109;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;103;85;83%;18%;26%;56%;63%;95;73;91;72;25;46;84;62;72;49;52;71;67
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;216;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1208;930;77%;21%;21%;59%;65%;85;72;76;72;51;60;74;58;73;55;53;58;67
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;288;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
RERIUTABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;192;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;70;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;301;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;86;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;171;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;61;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;172;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;166;158;95%;29%;23%;48%;60%;91;62;80;71;34;55;74;55;69;48;46;56;62
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;298;17;6%;6%;29%;65%;73%;94;75;94;82;41;62;94;86;82;62;53;82;59
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;27;4;15%;25%;25%;50%;51%;;75;75;75;50;63;75;33;13;25;50;;25
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;565;80;14%;14%;24%;63%;67%;89;81;82;81;38;40;88;61;78;61;55;59;63
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;670;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;520;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;363;157;43%;40%;30%;30%;50%;79;53;57;57;30;49;59;41;50;43;39;49;54
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;318;295;93%;27%;27%;46%;58%;85;65;67;65;38;55;77;54;63;50;45;51;62
URUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;216;198;92%;17%;30%;54%;64%;85;71;74;66;49;65;89;57;69;60;50;58;58
VARJOTA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;228;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
VICOSA DO CEARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;782;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
