Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 16 (%);H 17 (%)
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;236;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;17679;200;1%;16%;24%;60%;68%;71;75;78;88;86;65;76;65;83;18;67;50;42
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;234;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
GENERAL SAMPAIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;127;110;87%;18%;9%;73%;74%;80;83;85;92;93;64;80;69;85;45;74;51;53
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;773;736;95%;6%;10%;83%;80%;87;87;90;94;93;67;84;78;92;35;78;66;65
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;62;19;31%;11%;37%;53%;67%;61;74;74;92;89;55;79;74;97;16;45;68;39
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;133;132;99%;18%;15%;67%;73%;72;80;58;92;98;66;84;74;86;60;70;;52
GUAIUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;285;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;75;73;97%;8%;15%;77%;81%;79;77;90;96;98;73;91;80;81;75;71;85;65
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;84;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;328;297;91%;6%;11%;83%;80%;84;87;88;89;91;74;85;79;91;42;81;68;64
IBICUITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;22;21;95%;0%;24%;76%;76%;86;81;83;93;100;69;95;81;90;29;76;29;45
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;299;289;97%;15%;20%;65%;71%;74;81;84;90;92;62;74;64;87;21;64;56;52
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;705;565;80%;25%;29%;46%;61%;63;66;75;75;83;52;67;59;78;27;59;50;36
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;166;111;67%;46%;26%;28%;52%;54;57;78;79;79;43;41;36;65;26;40;39;38
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;7;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;155;137;88%;25%;28%;47%;62%;69;73;73;87;94;50;72;52;77;18;54;40;39
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;122;116;95%;21%;22%;57%;69%;71;74;82;86;92;59;75;65;77;56;65;53;47
IPU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;178;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;361;3;1%;100%;0%;0%;14%;50;50;50;0;0;0;0;0;0;0;0;0;0
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;93;88;95%;5%;16%;80%;80%;85;89;86;96;97;70;81;76;89;45;85;67;57
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;793;713;90%;20%;25%;54%;67%;67;75;80;83;88;57;76;63;81;45;57;43;47
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;591;451;76%;16%;23%;61%;71%;68;75;81;88;92;65;81;66;79;56;66;62;49
ITAPIUNA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;189;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;277;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;429;379;88%;21%;25%;54%;66%;68;77;80;90;91;54;75;54;76;45;58;48;42
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;353;335;95%;15%;23%;62%;71%;75;77;79;89;88;63;85;66;82;51;62;55;52
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;108;9;8%;22%;44%;33%;57%;72;41;88;72;78;50;10;39;56;70;71;70;28
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1916;952;50%;25%;28%;47%;63%;61;72;76;84;88;53;63;58;73;21;61;50;41
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;292;288;99%;13%;13%;75%;75%;77;87;85;94;94;65;85;64;89;47;71;55;61
LAVRAS DA MANGABEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;49;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;597;529;89%;21%;23%;56%;65%;63;77;77;89;90;61;73;62;74;25;53;44;48
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;255;214;84%;8%;26%;66%;74%;85;80;81;94;91;57;83;68;95;35;69;59;45
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;2975;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1145;71;6%;66%;13%;21%;40%;55;56;62;40;51;24;47;28;26;52;9;38;26
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;503;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;190;158;83%;9%;11%;79%;81%;76;88;86;94;94;77;88;78;90;68;85;77;59
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;466;432;93%;6%;10%;83%;80%;81;87;92;94;95;80;83;79;91;34;78;62;64
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;558;473;85%;20%;22%;58%;68%;67;78;79;83;87;57;70;65;78;37;71;55;49
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;232;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;63;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MIRAIMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;17;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;486;1;0%;0%;100%;0%;59%;50;0;100;100;100;100;100;0;100;0;50;0;50
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;166;158;95%;8%;20%;73%;76%;71;90;81;95;95;68;80;72;91;39;75;60;54
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;620;510;82%;29%;30%;42%;60%;60;75;72;90;89;46;61;49;73;22;52;36;41
MORRINHOS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;230;221;96%;15%;18%;67%;72%;65;86;84;94;94;64;79;61;81;43;71;39;58
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;178;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;112;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;220;216;98%;5%;13%;82%;87%;88;92;96;98;98;81;92;83;93;80;89;79;79
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;289;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;324;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;328;306;93%;18%;24%;58%;67%;74;83;69;89;;61;77;61;78;49;66;42;38
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PACATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;55;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PACOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;139;138;99%;3%;20%;77%;78%;83;85;88;94;99;64;86;76;89;46;75;64;59
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;84;78;93%;6%;21%;73%;78%;84;83;85;93;90;75;82;72;95;38;76;45;65
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;101;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;136;124;91%;15%;21%;64%;76%;76;81;84;90;92;65;81;71;87;69;64;63;64
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;588;552;94%;13%;21%;66%;73%;77;83;83;82;90;67;77;69;85;45;73;63;52
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;12;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;463;380;82%;0%;1%;99%;98%;97;98;99;98;97;99;98;99;98;95;95;99;98
PENAFORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;648;403;62%;28%;23%;50%;62%;63;69;75;82;87;53;66;60;76;20;57;47;37
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;303;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;28;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;101;101;100%;0%;0%;100%;95%;96;99;100;98;100;89;95;95;98;84;96;89;96
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;161;146;91%;5%;15%;80%;76%;72;84;82;96;90;66;82;75;93;21;77;64;60
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;267;258;97%;17%;23%;59%;72%;60;75;84;93;93;66;88;61;88;68;66;61;45
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;67;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;92;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;167;4;2%;100%;0%;0%;19%;50;25;50;0;25;38;0;0;0;0;25;25;0
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1138;915;80%;9%;12%;79%;80%;82;84;86;90;89;72;87;78;87;65;80;76;67
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;180;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;360;334;93%;19%;29%;51%;64%;57;75;75;82;92;53;67;59;79;30;60;43;49
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;77;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;210;157;75%;13%;20%;67%;71%;78;78;80;89;82;58;76;64;85;39;63;51;59
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;306;271;89%;19%;24%;58%;68%;68;78;81;90;89;51;71;60;79;36;62;55;50
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;103;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;163;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;427;20;5%;25%;35%;40%;62%;43;50;70;86;95;59;79;61;75;44;60;0;29
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;64;62;97%;5%;15%;81%;76%;82;91;92;98;98;56;81;70;95;21;67;47;65
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;139;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;194;183;94%;8%;20%;73%;75%;82;86;90;93;98;62;82;70;85;52;76;56;42
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;294;129;44%;23%;33%;44%;61%;61;74;79;90;84;47;65;43;69;29;50;47;45
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;23;2;9%;0%;0%;100%;75%;100;75;100;100;100;75;50;75;100;50;50;0;50
TARRAFAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;30;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;566;7;1%;0%;0%;100%;100%;100;100;100;100;100;100;100;100;100;100;100;100;100
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;25;10%;28%;28%;44%;61%;68;76;72;90;88;44;76;46;76;24;54;52;26
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1196;1070;89%;21%;23%;56%;67%;65;76;78;85;88;58;71;61;77;34;63;51;50
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;660;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;487;386;79%;13%;17%;70%;73%;73;85;86;84;92;61;78;72;83;37;72;56;62
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;267;194;73%;15%;25%;59%;67%;68;70;78;88;91;60;70;67;84;19;68;45;42
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;260;148;57%;19%;18%;64%;69%;66;77;80;88;91;61;78;63;81;34;70;54;49
