Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 13 (%);H 15 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%);H 27 (%);H 29 (%);H 30 (%);H 32 (%);H 33 (%);H 35 (%)
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;219;207;95%;14%;14%;71%;68%;68;49;79;72;84;71;64;50;70;73;85;57
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;283;252;89%;16%;18%;65%;60%;63;73;71;72;63;61;62;67;54;;42;43
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;751;92;12%;17%;12%;71%;67%;64;61;79;68;75;63;73;57;64;67;72;60
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;84;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;124;117;94%;9%;18%;73%;61%;66;68;76;75;68;66;63;67;54;;45;32
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;3124;2;0%;50%;50%;0%;23%;17;0;25;50;25;50;25;0;25;;0;25
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;187;177;95%;8%;18%;73%;63%;71;72;75;75;70;64;63;69;48;;50;39
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;221;35;16%;14%;11%;74%;60%;60;43;;66;71;55;59;;80;54;63;56
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;865;779;90%;7%;14%;79%;66%;71;76;79;74;70;69;68;71;54;67;51;44
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;255;168;66%;8%;10%;82%;69%;69;70;83;79;73;67;66;76;71;69;59;59
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;256;245;96%;12%;11%;77%;67%;69;77;80;78;72;67;71;71;58;89;53;51
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;89;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;976;31;3%;6%;6%;87%;68%;61;65;81;68;77;40;82;79;55;90;59;56
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;18;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;307;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;19447;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;238;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
FRECHEIRINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;281;266;95%;9%;18%;73%;63%;64;71;76;72;73;58;72;69;55;74;53;43
GRACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;19;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;861;789;92%;6%;7%;87%;74%;79;82;87;83;74;78;78;77;63;;62;57
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;74;34;46%;26%;21%;53%;49%;52;53;65;65;53;56;47;60;51;;28;19
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;133;128;96%;5%;16%;79%;65%;66;74;86;80;75;54;73;73;59;;48;48
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;79;73;92%;12%;21%;67%;61%;53;43;77;66;83;50;63;61;36;76;58;57
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;157;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;350;264;75%;14%;16%;69%;60%;64;69;75;67;64;61;62;66;54;;45;38
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;330;286;87%;11%;11%;78%;65%;71;70;77;71;68;71;69;70;56;;48;44
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;804;665;83%;20%;25%;55%;52%;58;55;65;65;52;57;53;54;46;60;38;29
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;143;25;17%;20%;40%;40%;50%;56;40;63;40;57;48;46;66;50;80;38;31
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;4;4;100%;0%;0%;100%;88%;100;100;88;100;75;100;100;50;100;;63;88
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;161;161;100%;17%;20%;63%;57%;61;60;71;67;63;58;61;61;52;;42;32
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;153;149;97%;13%;15%;72%;60%;62;59;78;64;70;48;63;49;61;61;70;53
IPU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;217;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
IPUEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;187;149;80%;30%;21%;50%;50%;52;51;65;59;58;50;51;53;44;69;39;32
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;378;2;1%;100%;0%;0%;27%;17;100;0;0;0;50;0;100;0;;50;0
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;114;109;96%;12%;10%;78%;65%;72;77;78;78;64;67;67;70;52;;56;47
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;848;755;89%;17%;18%;65%;59%;60;63;73;66;66;54;61;64;52;68;48;42
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;431;255;59%;12%;19%;69%;63%;58;51;77;65;76;58;67;58;63;67;76;53
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;167;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;487;447;92%;12%;25%;64%;59%;63;67;75;69;66;60;58;61;52;79;46;38
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;399;374;94%;18%;18%;64%;60%;64;57;71;65;62;66;61;58;54;72;51;45
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;127;21;17%;5%;19%;76%;67%;71;76;76;48;71;79;74;69;71;;50;33
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1400;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;358;351;98%;13%;12%;75%;64%;62;53;75;73;75;56;66;69;59;81;60;55
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;600;532;89%;11%;14%;76%;66%;62;53;79;71;82;52;70;56;70;74;82;60
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;258;225;87%;9%;10%;81%;65%;71;81;79;75;62;68;71;65;56;50;52;41
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1066;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;72;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;474;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;205;158;77%;10%;15%;75%;68%;65;73;81;74;76;67;71;70;55;72;60;54
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;514;481;94%;5%;9%;86%;71%;74;81;84;80;71;72;78;71;66;25;64;46
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;600;506;84%;18%;17%;65%;59%;66;61;71;62;59;60;63;61;51;58;53;40
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;232;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;23;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MIRAIMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;17;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;27;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;138;90%;14%;13%;73%;63%;65;64;75;73;69;68;66;72;57;;51;30
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;394;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;195;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;145;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;245;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;304;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;399;391;98%;4%;11%;84%;70%;75;77;84;80;75;70;75;79;60;0;58;46
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;86;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;230;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;80;73;91%;12%;15%;73%;62%;67;67;83;68;70;65;68;65;50;;49;34
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;93;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;126;121;96%;8%;13%;79%;69%;62;68;81;80;76;65;74;58;56;73;68;56
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;582;502;86%;13%;13%;74%;64%;68;72;73;70;67;65;66;68;55;79;51;46
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;24;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;460;426;93%;0%;0%;100%;97%;98;98;96;98;99;99;91;96;99;99;98;96
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;613;393;64%;26%;21%;53%;54%;50;43;66;54;67;49;58;42;55;55;72;47
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;310;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;118;115;97%;1%;0%;99%;95%;98;97;97;97;97;97;98;96;93;;92;86
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;138;90%;16%;20%;64%;60%;65;71;70;71;63;65;63;66;55;17;43;33
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;133;126;95%;14%;25%;61%;57%;49;57;72;67;69;41;62;64;33;84;52;38
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;109;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;103;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;234;205;88%;20%;22%;58%;55%;64;59;70;66;62;59;54;56;49;;42;30
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1217;964;79%;6%;12%;82%;71%;74;67;83;79;75;72;75;67;65;72;64;61
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;412;384;93%;15%;23%;61%;56%;61;63;73;70;59;56;59;64;47;0;39;34
RERIUTABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;232;205;88%;13%;20%;67%;61%;61;53;72;65;71;59;63;59;57;76;54;51
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;70;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;194;152;78%;13%;22%;65%;59%;65;74;74;70;60;58;60;65;53;63;44;39
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;312;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;126;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;172;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;457;20;4%;20%;20%;60%;55%;43;85;65;70;62;35;50;68;35;90;47;40
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;64;60;94%;10%;13%;77%;65%;74;72;86;67;78;68;60;71;57;;53;33
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;171;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;165;155;94%;20%;15%;65%;60%;61;63;69;72;71;57;62;64;52;79;55;45
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;342;131;38%;15%;17%;69%;59%;64;63;69;63;70;57;61;65;54;79;49;37
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;37;3;8%;33%;0%;67%;47%;67;75;40;50;17;56;71;0;50;100;17;40
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;598;8;1%;63%;0%;38%;40%;42;0;44;0;57;46;0;44;56;0;52;35
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;300;269;90%;19%;22%;59%;56%;60;60;69;65;64;56;57;58;47;65;47;33
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1095;953;87%;16%;18%;65%;58%;62;65;71;68;64;56;62;66;51;58;45;38
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;670;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;522;436;84%;10%;19%;71%;61%;64;64;76;71;67;58;62;67;60;66;49;42
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;276;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;318;24;8%;17%;42%;42%;51%;58;58;67;67;52;44;65;48;50;;31;35
URUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;213;191;90%;13%;9%;78%;70%;71;60;78;74;83;70;65;69;75;80;65;52
VARJOTA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;229;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
VICOSA DO CEARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;899;76;8%;5%;14%;80%;69%;75;80;78;82;75;64;78;77;58;;58;45
