Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%)
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;214;171;80%;22%;28%;50%;70%;92;87;68;58;54;62;73;73;77
CARIRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;234;226;97%;23%;23%;54%;70%;92;92;67;50;52;60;76;83;81
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;179;0;0%;0%;0%;0%;0%;;;;;;;;;
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;205;197;96%;16%;17%;66%;76%;94;89;75;60;58;66;88;93;81
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;306;266;87%;35%;31%;34%;64%;92;87;59;35;45;54;62;71;62
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;831;66;8%;9%;32%;59%;77%;96;93;73;50;55;73;79;78;90
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;140;0;0%;0%;0%;0%;0%;;;;;;;;;
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;176;105;60%;11%;29%;60%;74%;97;60;74;59;59;80;75;89;89
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;196;187;95%;18%;27%;55%;71%;92;82;68;55;53;65;75;81;86
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;200;183;92%;42%;29%;30%;63%;87;88;54;40;45;50;60;61;67
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;205;13;6%;23%;54%;23%;58%;90;85;74;33;41;39;34;39;77
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;812;677;83%;22%;30%;49%;68%;90;82;72;52;51;61;64;72;78
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1280;993;78%;38%;28%;34%;61%;87;68;61;44;47;58;59;66;67
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;231;208;90%;20%;25%;55%;74%;95;87;75;54;60;68;78;74;71
DEPUTADO IRAPUAN PINHEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;101;60;59%;40%;28%;32%;60%;93;79;55;37;35;56;67;75;65
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1008;889;88%;14%;18%;68%;76%;94;89;77;58;55;70;83;88;83
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;234;213;91%;33%;29%;38%;66%;90;86;58;42;42;60;69;70;70
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;312;248;79%;32%;18%;50%;66%;83;70;64;56;62;67;63;69;68
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;165;0;0%;0%;0%;0%;0%;;;;;;;;;
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;226;0;0%;0%;0%;0%;0%;;;;;;;;;
GENERAL SAMPAIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;117;0;0%;0%;0%;0%;0%;;;;;;;;;
GRACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;202;195;97%;14%;16%;70%;83%;94;86;80;68;67;79;88;79;90
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;758;728;96%;19%;24%;56%;71%;92;81;76;59;54;67;68;76;75
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;18;22%;61%;28%;11%;47%;78;81;31;44;46;25;50;47;36
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;152;151;99%;3%;9%;89%;87%;97;92;86;74;75;94;87;93;95
GUAIUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;497;306;62%;45%;28%;26%;57%;78;76;53;41;45;57;55;58;59
GUARACIABA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;711;685;96%;12%;20%;68%;76%;94;91;77;59;61;74;77;81;88
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;76;94%;18%;30%;51%;71%;98;93;68;37;51;64;75;79;74
HIDROLANDIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;286;210;73%;18%;27%;55%;74%;92;93;77;44;58;63;81;80;67
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;154;0;0%;0%;0%;0%;0%;;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;338;0;0%;0%;0%;0%;0%;;;;;;;;;
IBICUITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;157;0;0%;0%;0%;0%;0%;;;;;;;;;
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;311;232;75%;40%;31%;29%;61%;88;80;57;40;43;61;60;59;66
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;681;101;15%;25%;31%;45%;64%;88;54;71;44;51;73;48;72;81
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;233;31;13%;29%;29%;42%;63%;91;78;65;39;43;62;55;60;83
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;219;189;86%;17%;23%;60%;76%;90;67;74;68;62;68;86;80;88
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;168;0;0%;0%;0%;0%;0%;;;;;;;;;
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;136;129;95%;34%;23%;43%;67%;89;70;66;47;59;70;53;68;77
IPUEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;485;429;88%;14%;21%;66%;79%;94;87;84;57;73;76;89;79;82
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;178;148;83%;25%;32%;43%;67%;89;86;63;45;41;62;65;76;81
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;396;321;81%;21%;21%;58%;76%;91;87;72;57;58;67;83;82;72
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;77;73;95%;11%;33%;56%;71%;95;95;76;49;51;55;78;86;78
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;423;0;0%;0%;0%;0%;0%;;;;;;;;;
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;337;261;77%;22%;23%;55%;71%;89;83;71;44;56;69;69;69;79
ITAPIUNA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;210;199;95%;17%;23%;60%;75%;88;87;71;59;67;78;70;80;78
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;
JAGUARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;246;221;90%;16%;24%;60%;75%;91;84;78;52;64;68;77;77;80
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;155;72;46%;25%;19%;56%;68%;89;83;62;48;56;69;69;76;78
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;562;435;77%;51%;25%;24%;57%;80;80;54;37;39;46;57;64;59
JAGUARUANA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;347;293;84%;29%;30%;41%;64%;90;87;56;46;42;64;55;77;77
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;346;312;90%;30%;22%;48%;70%;84;85;66;52;55;66;70;71;73
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;87;58%;32%;21%;47%;65%;84;81;59;45;57;54;52;73;88
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1292;0;0%;0%;0%;0%;0%;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;323;289;89%;42%;32%;26%;60%;90;82;58;33;42;52;66;64;51
LAVRAS DA MANGABEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;270;0;0%;0%;0%;0%;0%;;;;;;;;;
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;586;0;0%;0%;0%;0%;0%;;;;;;;;;
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;249;210;84%;22%;31%;47%;72%;90;83;73;57;59;69;70;69;72
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;3120;4;0%;100%;0%;0%;18%;0;17;9;50;29;11;40;7;25
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1118;936;84%;31%;32%;37%;66%;91;82;66;47;46;59;74;64;70
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;635;459;72%;24%;25%;51%;71%;88;90;65;54;56;66;74;79;67
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;223;186;83%;22%;24%;55%;74%;90;86;78;61;64;60;79;81;68
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;550;491;89%;13%;22%;65%;77%;91;91;75;65;60;70;76;86;89
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;620;542;87%;37%;23%;39%;63%;82;78;64;38;50;58;60;68;67
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;254;238;94%;13%;13%;74%;82%;96;89;87;67;71;72;84;86;78
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;210;202;96%;30%;38%;33%;65%;87;80;59;41;52;56;70;62;69
MILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;159;156;98%;1%;12%;88%;89%;98;94;89;69;80;93;88;90;96
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;451;0;0%;0%;0%;0%;0%;;;;;;;;;
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;169;106;63%;33%;29%;38%;66%;88;86;62;40;53;58;75;70;58
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;598;0;0%;0%;0%;0%;0%;;;;;;;;;
MORRINHOS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;309;265;86%;42%;28%;30%;59%;86;84;52;41;38;45;60;73;59
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;208;153;74%;69%;14%;16%;45%;75;34;32;43;36;56;36;45;52
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;115;77%;26%;43%;30%;62%;91;80;63;43;46;61;36;74;72
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;216;208;96%;13%;19%;68%;82%;94;93;78;63;68;78;89;89;79
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;344;239;69%;21%;24%;54%;70%;90;78;70;57;61;63;64;74;88
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;372;0;0%;0%;0%;0%;0%;;;;;;;;;
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;292;268;92%;53%;25%;22%;55%;86;79;50;36;33;49;52;64;55
OROS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;224;206;92%;50%;28%;21%;54%;55;67;52;41;38;57;54;65;73
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;202;0;0%;0%;0%;0%;0%;;;;;;;;;
PACATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;860;738;86%;39%;30%;31%;67%;92;87;58;45;48;55;63;60;68
PACOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;139;139;100%;13%;34%;53%;71%;96;92;72;54;49;62;63;76;89
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;95;79;83%;5%;14%;81%;80%;97;95;73;55;66;79;83;90;98
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;83;95%;40%;31%;28%;59%;85;79;46;34;41;47;70;73;78
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;120;108;90%;37%;35%;28%;62%;83;65;60;43;51;59;57;76;58
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;573;18;3%;6%;17%;78%;78%;89;89;74;74;65;83;67;83;89
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;152;100;66%;30%;35%;35%;64%;86;47;66;44;52;64;63;66;88
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;512;435;85%;0%;5%;94%;90%;94;94;91;82;87;87;96;96;90
PENAFORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;111;103;93%;26%;31%;43%;69%;88;74;68;45;56;68;70;67;83
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;587;0;0%;0%;0%;0%;0%;;;;;;;;;
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;274;269;98%;37%;25%;38%;60%;91;87;60;47;35;47;58;69;69
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;312;269;86%;23%;30%;47%;67%;93;87;66;45;48;59;77;65;75
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;132;89%;7%;8%;85%;87%;97;95;84;71;78;83;87;85;92
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;131;123;94%;10%;12%;78%;81%;95;93;78;72;67;67;90;81;79
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;206;0;0%;0%;0%;0%;0%;;;;;;;;;
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;91;74;81%;35%;38%;27%;58%;89;82;48;33;34;57;72;80;64
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;147;101;69%;66%;20%;14%;47%;74;72;36;31;27;41;45;61;52
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;102;93;91%;33%;28%;39%;65%;94;92;61;42;49;64;63;81;65
QUITERIANOPOLIS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;255;223;87%;14%;22%;64%;77%;92;91;73;60;59;74;78;86;82
QUIXADA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;682;0;0%;0%;0%;0%;0%;;;;;;;;;
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;229;0;0%;0%;0%;0%;0%;;;;;;;;;
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1297;925;71%;21%;24%;55%;73%;87;83;74;56;64;70;77;78;73
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;0;0%;0%;0%;0%;0%;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;420;359;85%;31%;29%;40%;66%;80;80;57;45;44;68;61;75;79
RERIUTABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;204;183;90%;20%;26%;55%;73%;92;87;79;51;53;69;78;76;72
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;233;135;58%;19%;35%;47%;67%;89;82;69;45;48;69;68;76;84
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;340;253;74%;47%;29%;23%;57%;88;84;51;36;34;50;58;59;59
SANTA QUITERIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;496;408;82%;21%;22%;57%;72%;88;70;75;53;57;73;71;75;83
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;323;0;0%;0%;0%;0%;0%;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;264;199;75%;39%;40%;21%;60%;89;80;45;39;38;52;56;55;81
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;12;12;100%;17%;42%;42%;62%;83;92;63;25;38;61;83;79;78
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;56;52;93%;50%;33%;17%;54%;89;86;47;42;30;55;43;66;45
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;307;221;72%;19%;26%;56%;75%;94;78;76;57;58;72;70;77;81
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;206;195;95%;16%;23%;61%;76%;92;90;78;53;51;71;81;85;81
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;309;140;45%;50%;21%;29%;59%;88;83;58;38;38;48;61;64;55
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;363;264;73%;25%;23%;52%;69%;87;84;72;49;52;64;71;73;76
TARRAFAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;158;47;30%;17%;26%;57%;77%;91;89;70;65;60;70;82;80;86
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;566;468;83%;41%;30%;29%;61%;85;77;58;40;49;51;58;63;66
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;301;0;0%;0%;0%;0%;0%;;;;;;;;;
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1231;1026;83%;35%;34%;31%;62%;85;75;61;42;45;57;59;64;73
