Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;178;105;59%;6%;10%;84%;85%;84;87;90;93;91;84;80;67
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;89;1;1%;100%;0%;0%;32%;0;0;0;0;50;75;50;50
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;198;179;90%;12%;24%;64%;79%;70;90;89;83;93;76;70;59
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;200;192;96%;28%;26%;46%;69%;61;73;72;83;82;64;63;48
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;222;53;24%;21%;53%;26%;66%;59;79;80;81;83;53;52;38
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;740;662;89%;12%;22%;66%;77%;74;80;82;83;88;73;70;60
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1261;1063;84%;17%;32%;51%;72%;61;78;78;83;82;69;68;56
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;235;212;90%;6%;16%;78%;84%;78;88;92;90;91;82;76;68
DEPUTADO IRAPUAN PINHEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;98;94;96%;15%;34%;51%;74%;61;75;81;85;95;69;63;60
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;106;63;59%;29%;38%;33%;65%;46;77;73;79;86;54;58;43
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1063;933;88%;7%;16%;77%;83%;79;87;90;93;91;79;76;69
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;236;219;93%;27%;26%;46%;68%;62;79;82;82;80;62;60;45
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;313;243;78%;7%;20%;74%;85%;86;81;92;94;83;82;85;80
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;15840;209;1%;19%;29%;52%;72%;67;82;74;79;76;68;67;59
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;232;216;93%;37%;36%;27%;61%;48;74;75;80;63;47;65;49
GENERAL SAMPAIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;134;112;84%;21%;33%;46%;69%;58;75;74;86;88;56;69;51
GRACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;223;199;89%;2%;13%;85%;89%;86;93;91;91;95;88;82;78
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;762;718;94%;8%;18%;74%;82%;78;88;89;91;92;77;74;64
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;59;73%;39%;36%;24%;57%;52;66;81;75;66;44;39;37
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;152;150;99%;7%;12%;81%;83%;82;84;91;93;92;76;80;69
GUAIUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;380;304;80%;20%;20%;60%;73%;69;81;74;84;80;66;73;55
GUARACIABA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;720;656;91%;7%;19%;74%;82%;79;86;88;90;90;79;77;66
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;77;95%;23%;35%;42%;69%;67;77;88;86;79;56;66;41
HIDROLANDIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;227;222;98%;8%;25%;67%;78%;71;80;88;83;88;71;73;71
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;195;0;0%;0%;0%;0%;0%;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;346;306;88%;8%;36%;56%;77%;74;81;79;90;83;77;66;56
IBICUITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;160;145;91%;17%;30%;52%;73%;70;80;75;86;78;66;65;60
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;275;259;94%;19%;23%;58%;76%;70;76;80;87;88;73;64;62
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;738;577;78%;21%;31%;46%;67%;62;68;67;76;80;67;56;55
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;524;320;61%;31%;38%;31%;62%;50;68;75;76;77;57;56;41
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;244;208;85%;4%;17%;79%;86%;82;89;86;90;91;87;80;76
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;137;92%;41%;43%;16%;57%;48;68;73;83;66;40;50;35
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;134;124;93%;19%;28%;52%;72%;67;80;76;79;88;67;62;59
IPU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;482;0;0%;0%;0%;0%;0%;;;;;;;;
IPUEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;493;366;74%;8%;14%;78%;85%;83;89;88;91;90;84;81;74
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;186;0;0%;0%;0%;0%;0%;;;;;;;;
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;370;345;93%;6%;20%;73%;83%;77;90;88;90;92;78;75;68
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;77;71;92%;7%;25%;68%;79%;71;89;94;92;83;65;85;58
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1240;682;55%;22%;31%;47%;71%;61;75;77;82;83;67;64;56
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;330;226;68%;13%;22%;65%;77%;72;83;85;88;87;78;69;63
ITAPIUNA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;222;191;86%;18%;29%;53%;74%;70;80;82;70;85;74;68;52
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;282;64;23%;11%;39%;50%;76%;77;84;92;91;77;65;63;63
JAGUARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;245;217;89%;6%;22%;71%;82%;78;85;86;83;94;77;69;73
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;147;136;93%;20%;37%;43%;69%;63;73;85;89;78;62;57;50
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;511;432;85%;30%;32%;38%;64%;56;73;75;81;75;52;64;43
JAGUARUANA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;342;282;82%;24%;36%;39%;68%;58;68;83;80;87;68;60;52
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;361;311;86%;18%;24%;58%;74%;67;83;81;80;87;74;67;54
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;114;77%;14%;21%;65%;76%;67;80;76;84;88;71;67;70
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1614;33;2%;3%;15%;82%;85%;76;95;85;67;97;82;84;85
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;303;286;94%;24%;31%;44%;68%;59;76;85;83;80;55;59;49
LAVRAS DA MANGABEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;342;204;60%;10%;40%;50%;75%;65;79;84;87;92;67;78;45
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;644;538;84%;18%;30%;52%;72%;62;79;82;85;82;66;63;57
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;271;228;84%;18%;32%;49%;71%;62;81;80;87;83;62;64;50
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;3080;2773;90%;25%;29%;46%;68%;62;77;78;82;74;60;62;54
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1137;1000;88%;27%;24%;48%;70%;63;78;84;82;81;64;66;54
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;635;0;0%;0%;0%;0%;0%;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;222;190;86%;19%;18%;63%;75%;75;78;85;83;85;73;70;50
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;524;479;91%;7%;19%;74%;83%;75;88;89;89;94;79;74;72
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;616;478;78%;19%;29%;53%;72%;63;77;78;84;86;71;58;50
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;256;241;94%;10%;22%;68%;80%;74;83;97;94;92;68;79;60
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;209;168;80%;21%;30%;48%;71%;66;82;81;84;75;68;61;50
MILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;160;159;99%;0%;5%;95%;93%;88;97;97;89;95;93;91;88
MIRAIMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;476;0;0%;0%;0%;0%;0%;;;;;;;;
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;187;162;87%;16%;33%;51%;73%;67;83;90;85;80;63;78;42
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;599;0;0%;0%;0%;0%;0%;;;;;;;;
MORRINHOS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;309;0;0%;0%;0%;0%;0%;;;;;;;;
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;211;167;79%;8%;19%;73%;80%;77;88;88;89;85;78;72;60
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;142;0;0%;0%;0%;0%;0%;;;;;;;;
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;216;214;99%;5%;18%;78%;86%;88;91;93;87;90;84;81;75
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;357;314;88%;9%;24%;67%;79%;75;85;86;86;95;86;77;57
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;372;361;97%;9%;16%;75%;81%;73;88;90;93;89;75;74;64
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;293;273;93%;24%;23%;53%;69%;68;72;81;81;77;63;69;48
OROS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;231;215;93%;30%;28%;42%;68%;59;77;69;71;88;69;63;51
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;202;0;0%;0%;0%;0%;0%;;;;;;;;
PACATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;868;824;95%;21%;30%;50%;71%;64;76;77;81;82;64;65;58
PACOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;141;138;98%;22%;37%;41%;67%;64;78;80;81;70;59;60;46
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;106;95;90%;9%;37%;54%;76%;70;82;77;87;91;70;67;52
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;81;93%;35%;30%;36%;64%;52;70;68;79;79;54;65;48
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;118;114;97%;4%;12%;82%;84%;85;87;76;86;95;91;81;70
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;590;457;77%;7%;16%;76%;85%;79;88;88;88;91;84;81;76
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;160;104;65%;15%;32%;53%;73%;64;85;79;77;88;70;66;45
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;504;434;86%;0%;0%;100%;97%;96;97;99;97;99;96;98;95
PENAFORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;118;98;83%;22%;31%;47%;71%;63;86;83;69;90;75;59;43
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;657;432;66%;34%;21%;45%;65%;53;72;72;71;75;59;60;55
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;276;266;96%;22%;31%;47%;69%;64;79;83;82;76;58;62;53
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;332;0;0%;0%;0%;0%;0%;;;;;;;;
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;150;142;95%;12%;15%;73%;81%;74;88;88;83;83;82;75;75
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;141;141;100%;1%;0%;99%;95%;94;97;97;96;97;93;95;90
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;208;173;83%;12%;33%;55%;73%;63;79;79;82;91;67;62;51
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;236;211;89%;34%;23%;43%;65%;51;71;83;82;74;54;59;45
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;109;61;56%;38%;44%;18%;58%;56;69;79;80;58;41;52;43
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;102;74;73%;5%;18%;77%;82%;72;92;95;91;89;79;85;61
QUITERIANOPOLIS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;236;204;86%;9%;23%;68%;80%;76;79;89;91;88;74;69;69
QUIXADA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;682;0;0%;0%;0%;0%;0%;;;;;;;;
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;231;209;90%;42%;28%;31%;60%;55;64;73;75;65;52;54;44
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1282;976;76%;12%;24%;64%;77%;73;82;81;85;85;77;71;63
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;0;0%;0%;0%;0%;0%;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;415;368;89%;15%;24%;61%;77%;73;81;81;86;87;72;71;61
RERIUTABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;216;171;79%;11%;17%;72%;81%;78;84;88;90;89;77;71;68
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;292;182;62%;11%;29%;60%;77%;60;81;84;88;94;78;65;56
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;381;291;76%;24%;30%;46%;69%;62;75;77;80;83;65;57;45
SANTA QUITERIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;502;400;80%;16%;21%;64%;76%;67;84;82;87;89;73;73;55
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;322;134;42%;22%;34%;43%;69%;53;79;82;73;88;64;64;45
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;276;212;77%;17%;40%;42%;69%;54;76;76;80;81;62;57;62
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;592;475;80%;22%;33%;44%;67%;63;71;76;77;62;69;63;58
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;59;54;92%;31%;20%;48%;68%;71;76;76;77;66;60;72;50
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;274;213;78%;15%;34%;51%;74%;68;84;87;82;83;67;65;59
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;199;96%;15%;28%;57%;76%;68;84;88;92;83;67;70;59
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;321;135;42%;40%;24%;36%;63%;61;74;75;81;69;46;59;47
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;378;64;17%;16%;27%;58%;75%;70;84;84;91;79;64;73;54
TARRAFAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;112;85;76%;13%;22%;65%;78%;69;80;89;89;86;76;73;62
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;593;534;90%;39%;31%;30%;61%;55;68;71;74;69;52;54;45
