Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 05 (%);H 09 (%);H 13 (%);H 14 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%)
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;245;217;89%;0%;11%;89%;89%;100;30;95;81;96;94;96;100;96
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;361;342;95%;22%;28%;50%;72%;82;54;82;78;65;84;70;47;80
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;425;410;96%;14%;22%;63%;76%;94;59;84;83;63;91;74;55;80
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;294;271;92%;31%;31%;38%;66%;91;50;66;69;60;84;63;47;71
OROS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;254;244;96%;17%;30%;53%;71%;94;45;72;86;56;89;70;51;72
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;238;0;0%;0%;0%;0%;0%;;;;;;;;;
PACATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;997;961;96%;30%;22%;47%;68%;88;48;72;75;54;86;68;46;74
PACOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;136;122;90%;13%;25%;62%;79%;86;63;85;88;80;91;77;51;87
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;132;89;67%;12%;29%;58%;76%;93;54;85;81;64;91;79;53;82
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;105;99;94%;29%;31%;39%;63%;92;43;65;74;51;85;60;48;56
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;147;140;95%;15%;21%;64%;76%;90;56;81;84;71;89;74;58;79
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;576;486;84%;30%;24%;46%;67%;78;45;70;74;61;81;69;49;73
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;164;85;52%;12%;31%;58%;75%;88;54;80;82;68;87;78;56;82
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;417;372;89%;0%;0%;100%;97%;97;97;97;95;97;97;98;96;98
PENAFORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;114;101;89%;18%;41%;42%;70%;91;49;82;90;44;81;66;59;79
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;648;388;60%;29%;35%;36%;65%;82;47;69;75;42;83;65;39;75
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;256;250;98%;17%;18%;65%;77%;95;56;80;84;78;91;74;55;84
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;314;0;0%;0%;0%;0%;0%;;;;;;;;;
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;179;167;93%;14%;29%;56%;75%;90;54;82;84;68;87;68;51;83
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;126;125;99%;1%;0%;99%;95%;97;87;97;98;96;99;95;90;98
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;185;159;86%;33%;19%;47%;68%;89;43;73;76;53;85;69;48;76
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;249;237;95%;30%;26%;45%;65%;94;34;65;75;60;80;65;41;62
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;116;63;54%;24%;25%;51%;71%;90;54;74;84;52;88;78;40;75
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;79;55;70%;25%;33%;42%;69%;96;61;69;71;45;91;70;54;79
QUITERIANOPOLIS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;251;221;88%;15%;21%;64%;76%;94;54;84;84;79;87;75;53;77
QUIXADA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;675;0;0%;0%;0%;0%;0%;;;;;;;;;
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;240;197;82%;39%;22%;39%;65%;93;43;66;73;56;83;65;42;67
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1370;1029;75%;16%;23%;60%;74%;88;54;80;79;71;86;73;62;76
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;246;0;0%;0%;0%;0%;0%;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;449;399;89%;37%;25%;39%;65%;80;47;67;73;47;83;61;46;72
RERIUTABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;213;209;98%;32%;22%;45%;68%;78;46;72;78;59;85;66;53;70
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;69;0;0%;0%;0%;0%;0%;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;243;169;70%;33%;24%;43%;68%;88;46;72;78;64;82;71;44;74
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;319;284;89%;33%;17%;50%;67%;85;53;70;73;54;83;65;50;71
SANTA QUITERIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;469;408;87%;25%;33%;42%;68%;86;54;70;76;60;80;65;53;70
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;352;178;51%;16%;12%;71%;79%;89;62;83;87;74;91;78;61;83
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;295;259;88%;39%;22%;38%;65%;82;45;67;70;64;77;60;46;72
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;620;523;84%;34%;22%;44%;67%;83;48;71;71;59;81;66;51;71
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;60;60;100%;28%;20%;52%;70%;92;47;78;74;58;88;70;51;74
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;270;223;83%;23%;21%;57%;73%;81;56;76;80;76;91;71;50;78
