Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 48 (%);H 51 (%);H 53 (%);H 54 (%);H 55 (%);H 56 (%);H 57 (%);H 58 (%);H 59 (%);H 61 (%);H 62 (%)
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;309;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IBICUITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;22;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;174;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;638;99;16%;15%;44%;40%;76%;66;84;84;88;85;58;71;88;70;79;71
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;111;100;90%;46%;37%;17%;58%;41;61;74;65;88;57;52;73;45;44;56
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;141;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;129;119;92%;44%;37%;19%;62%;53;60;72;64;79;61;60;77;49;46;67
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;174;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;303;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;114;88;77%;26%;48%;26%;71%;47;80;92;81;89;61;75;80;49;51;77
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;484;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;551;436;79%;24%;47%;29%;72%;55;71;83;78;85;65;72;81;65;66;70
ITAPIUNA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;47;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;122;0;0%;0%;0%;0%;0%;;;;;;;;;;;
JAGUARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;7;3;43%;33%;67%;0%;64%;78;67;67;100;67;100;33;67;67;17;50
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;438;375;86%;32%;40%;28%;68%;55;69;80;71;88;68;68;77;59;59;66
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;304;20;7%;90%;10%;0%;38%;45;50;40;25;90;30;33;55;55;10;18
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;101;0;0%;0%;0%;0%;0%;;;;;;;;;;;
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;459;0;0%;0%;0%;0%;0%;;;;;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;296;286;97%;23%;40%;38%;74%;61;83;86;79;92;71;65;80;66;61;81
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;549;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;237;186;78%;12%;31%;58%;82%;74;85;94;86;93;75;78;87;74;77;84
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;2959;2707;91%;25%;43%;32%;72%;53;77;92;81;88;64;75;79;59;56;75
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;606;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;531;1;0%;100%;0%;0%;18%;50;0;0;50;0;0;0;50;0;0;50
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;193;155;80%;23%;40%;37%;74%;58;82;81;84;88;62;68;78;62;67;77
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;409;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;554;510;92%;29%;44%;27%;68%;53;69;75;72;83;62;68;77;60;63;71
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;231;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;63;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;108;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;145;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;549;14;3%;29%;50%;21%;68%;46;39;86;82;83;61;75;75;57;68;79
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;109;0;0%;0%;0%;0%;0%;;;;;;;;;;;
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;219;0;0%;0%;0%;0%;0%;;;;;;;;;;;
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;298;0;0%;0%;0%;0%;0%;;;;;;;;;;;
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;330;0;0%;0%;0%;0%;0%;;;;;;;;;;;
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;324;311;96%;30%;47%;23%;67%;56;70;81;72;86;64;62;76;54;51;72
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PACATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;60;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PACOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;82;73;89%;19%;36%;45%;78%;59;82;93;84;91;68;83;87;70;56;87
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;101;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;137;127;93%;28%;25%;47%;74%;68;76;81;79;89;57;71;79;70;69;67
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;558;32;6%;9%;53%;38%;80%;91;53;69;66;84;41;97;78;98;88;89
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;4;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;450;373;83%;2%;19%;79%;89%;89;86;88;90;94;94;88;81;88;89;91
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;389;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;296;174;59%;30%;48%;22%;69%;58;69;82;76;82;55;71;72;66;56;73
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;28;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;121;0;0%;0%;0%;0%;0%;;;;;;;;;;;
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;67;0;0%;0%;0%;0%;0%;;;;;;;;;;;
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;98;87;89%;10%;36%;54%;78%;59;86;90;91;93;79;72;89;71;67;80
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;169;0;0%;0%;0%;0%;0%;;;;;;;;;;;
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1149;902;79%;22%;34%;43%;74%;67;78;81;76;84;74;69;76;69;70;77
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;192;0;0%;0%;0%;0%;0%;;;;;;;;;;;
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;67;0;0%;0%;0%;0%;0%;;;;;;;;;;;
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;77;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;144;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;277;248;90%;35%;40%;25%;67%;52;64;78;74;87;59;65;79;62;56;68
SANTA QUITERIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;5;1;20%;0%;100%;0%;73%;0;100;100;50;67;50;100;100;100;100;50
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;99;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;163;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;19;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;65;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;144;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;191;183;96%;12%;39%;49%;80%;69;88;88;88;94;82;73;88;68;72;79
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;271;63;23%;19%;49%;32%;72%;66;80;82;79;89;66;67;83;60;60;75
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;29;4;14%;25%;0%;75%;77%;60;88;88;75;100;75;70;100;80;50;80
TARRAFAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;125;0;0%;0%;0%;0%;0%;;;;;;;;;;;
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;540;26;5%;19%;19%;62%;76%;71;77;81;90;70;79;67;92;72;73;76
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;239;0;0%;0%;0%;0%;0%;;;;;;;;;;;
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;142;34;24%;18%;32%;50%;74%;61;69;90;85;85;84;63;86;76;68;67
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;660;0;0%;0%;0%;0%;0%;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;470;59;13%;27%;53%;20%;68%;53;69;77;72;84;58;67;69;68;54;79
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;271;200;74%;34%;41%;25%;67%;61;70;77;69;83;51;66;76;63;53;63
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;260;230;88%;33%;39%;28%;67%;58;74;82;69;87;63;64;77;55;56;65
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;236;198;84%;20%;41%;39%;74%;59;78;87;76;91;67;78;85;60;61;74
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;244;3;1%;33%;33%;33%;70%;44;100;67;83;100;67;67;83;33;100;78
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;673;0;0%;0%;0%;0%;0%;;;;;;;;;;;
