Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%)
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;964;923;96%;4%;7%;89%;85%;92;96;87;94;84;73;75;63;85;89;90
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;219;91%;2%;2%;95%;90%;95;96;91;92;90;86;78;81;89;92;92
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;17837;1450;8%;13%;18%;68%;73%;83;89;74;76;74;57;65;59;76;75;73
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;243;221;91%;10%;14%;77%;77%;95;96;79;83;82;61;60;62;77;75;79
GENERAL SAMPAIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;96;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;773;734;95%;4%;5%;90%;86%;94;95;86;89;88;75;78;78;86;88;87
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;62;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;132;128;97%;3%;4%;93%;91%;97;96;92;96;90;77;87;86;92;93;93
GUAIUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;341;249;73%;8%;17%;75%;76%;94;95;73;82;77;54;67;63;77;83;76
GUARACIABA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;473;366;77%;5%;11%;85%;83%;95;94;82;88;83;74;74;71;82;85;83
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;75;70;93%;1%;1%;97%;88%;97;97;88;96;91;73;81;73;94;85;91
HORIZONTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;164;115;70%;10%;20%;70%;73%;86;89;76;83;75;52;70;62;60;78;81
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;330;286;87%;14%;13%;73%;73%;87;90;75;82;73;60;57;50;69;72;75
IBICUITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;23;22;96%;32%;23%;45%;66%;95;91;56;80;61;44;59;59;75;59;45
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;319;290;91%;13%;12%;76%;76%;90;94;76;87;78;60;65;57;71;78;72
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;723;558;77%;23%;27%;50%;64%;76;81;60;57;68;50;56;53;66;68;59
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;180;122;68%;31%;22%;47%;60%;77;79;55;62;64;57;45;40;69;59;54
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;7;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;158;130;82%;10%;8%;82%;81%;93;96;79;93;83;70;61;58;77;85;76
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;121;120;99%;19%;18%;63%;71%;87;85;73;69;79;50;67;64;78;61;67
IPU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;358;2;1%;100%;0%;0%;32%;25;25;50;50;50;0;0;33;17;50;50
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;91;90;99%;9%;10%;81%;80%;92;93;87;81;84;69;64;72;88;76;80
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;872;755;87%;11%;15%;74%;76%;81;89;78;86;79;63;67;59;74;78;75
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;580;529;91%;11%;16%;73%;75%;89;92;76;82;78;58;64;60;79;68;68
ITAPIUNA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;209;186;89%;12%;17%;72%;76%;86;88;70;81;84;66;71;63;78;77;81
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;128;126;98%;7%;13%;80%;77%;95;96;82;91;78;58;58;41;73;79;82
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;428;376;88%;11%;14%;75%;75%;92;95;76;83;75;58;58;53;76;77;76
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;360;329;91%;15%;22%;63%;71%;87;88;71;72;73;61;60;56;74;65;65
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;108;92;85%;8%;16%;76%;77%;88;96;80;88;80;54;73;62;69;74;80
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1954;941;48%;24%;24%;52%;65%;85;85;66;61;63;51;55;44;62;66;67
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;292;284;97%;5%;11%;84%;81%;96;96;81;87;85;68;68;63;90;75;80
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;602;551;92%;16%;20%;64%;70%;92;92;72;75;69;57;58;47;80;46;60
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;260;204;78%;2%;8%;89%;85%;96;95;83;94;86;73;76;79;79;88;82
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;2992;2648;89%;12%;15%;73%;76%;93;94;77;86;73;57;63;53;73;80;76
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1182;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;503;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;193;160;83%;3%;8%;89%;84%;93;99;84;86;84;72;82;69;85;86;89
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;467;334;72%;5%;2%;93%;87%;88;94;88;90;90;73;81;81;88;88;90
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;562;492;88%;20%;15%;65%;69%;81;84;66;73;72;53;64;56;70;69;71
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;246;229;93%;1%;8%;91%;85%;96;98;90;90;86;77;78;75;89;80;85
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;63;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MIRAIMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;17;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;497;59;12%;5%;10%;85%;82%;95;91;83;83;86;64;81;75;76;86;86
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;171;155;91%;1%;6%;93%;88%;97;99;87;95;88;78;79;74;90;88;90
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;625;540;86%;21%;23%;57%;67%;90;92;65;85;64;51;54;46;62;61;65
MORRINHOS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;230;0;0%;0%;0%;0%;0%;;;;;;;;;;;
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;164;161;98%;2%;5%;93%;91%;97;94;93;89;91;87;87;81;88;93;92
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;127;109;86%;11%;17%;72%;75%;91;93;74;83;73;60;52;55;78;72;78
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;221;217;98%;0%;0%;100%;100%;100;100;100;100;100;100;100;100;100;100;100
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;289;0;0%;0%;0%;0%;0%;;;;;;;;;;;
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;338;0;0%;0%;0%;0%;0%;;;;;;;;;;;
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;322;310;96%;12%;23%;65%;70%;85;91;76;72;75;56;61;52;80;45;54
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PACATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;748;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PACOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;147;135;92%;1%;4%;96%;87%;96;98;87;91;87;71;71;67;91;94;88
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;84;78;93%;1%;9%;90%;87%;94;96;91;97;82;77;74;85;85;88;85
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;102;92;90%;21%;18%;61%;70%;85;88;74;79;66;49;64;41;68;74;73
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;133;125;94%;6%;14%;80%;81%;96;94;79;88;78;70;74;70;85;68;72
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;588;549;93%;10%;16%;74%;77%;83;86;83;81;77;65;66;63;79;77;76
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;12;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;464;379;82%;0%;0%;100%;99%;100;100;99;99;100;95;100;99;99;99;100
PENAFORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;643;398;62%;12%;21%;67%;71%;84;92;70;76;79;58;60;56;78;67;67
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;303;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;48;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;101;97;96%;0%;0%;100%;97%;100;100;98;99;96;95;96;88;97;96;98
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;162;147;91%;3%;3%;94%;88%;97;98;83;89;90;83;84;85;93;75;79
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;268;229;85%;6%;18%;76%;77%;95;98;77;82;77;62;65;60;85;62;66
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;67;0;0%;0%;0%;0%;0%;;;;;;;;;;;
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;98;86;88%;3%;7%;90%;88%;95;96;89;89;90;76;71;88;91;88;90
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;176;5;3%;20%;0%;80%;75%;90;80;80;90;87;53;20;40;70;100;80
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1130;896;79%;5%;5%;90%;85%;90;92;88;88;88;73;79;79;86;83;86
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;180;29;16%;17%;7%;76%;73%;93;95;71;90;68;54;62;41;74;78;72
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;360;320;89%;7%;12%;81%;80%;88;96;81;91;81;67;63;65;75;79;84
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;160;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;142;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;305;273;90%;12%;18%;70%;75%;90;91;73;82;77;60;64;63;72;71;77
SANTA QUITERIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;425;310;73%;12%;12%;76%;78%;90;91;74;78;81;67;72;67;86;62;66
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;103;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;162;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;589;539;92%;7%;9%;83%;81%;90;93;81;84;85;66;70;76;82;81;85
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;62;60;97%;7%;15%;78%;82%;93;98;78;89;80;70;73;78;81;84;85
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;272;219;81%;10%;7%;84%;81%;88;90;78;87;87;66;80;77;84;77;75
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;197;188;95%;9%;7%;84%;80%;94;94;81;87;82;72;69;65;73;80;78
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;297;253;85%;10%;14%;76%;77%;93;94;79;83;77;64;66;57;80;73;78
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;23;2;9%;0%;0%;100%;89%;100;100;100;75;100;50;100;100;100;75;100
TARRAFAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;13;0;0%;0%;0%;0%;0%;;;;;;;;;;;
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;564;5;1%;20%;20%;60%;73%;100;100;67;80;67;60;40;20;80;90;60
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;290;265;91%;19%;19%;62%;70%;85;88;69;74;71;53;59;48;74;68;66
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1286;1092;85%;14%;18%;68%;73%;87;88;74;80;73;59;63;56;70;75;75
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;660;0;0%;0%;0%;0%;0%;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;488;412;84%;9%;18%;73%;76%;90;92;77;81;74;63;59;59;79;78;74
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;278;168;60%;13%;13%;75%;77%;91;92;75;86;76;62;68;63;76;75;71
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;268;211;79%;14%;17%;70%;74%;82;91;75;78;74;63;63;55;79;69;79
