Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%)
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;250;226;90%;7%;14%;79%;70%;87;72;59;68;74;66;78;67;68;76;80;56;76;73;82;66;60;74;55;80;60
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;732;73;10%;10%;25%;66%;68%;86;63;47;62;66;58;68;68;77;70;68;62;;85;;68;60;71;55;88;59
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;145;120;83%;11%;20%;69%;63%;78;78;68;59;;;73;64;65;82;73;56;68;;78;65;57;79;32;;50
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;171;148;87%;7%;20%;74%;73%;83;72;61;77;73;76;76;68;75;77;65;61;;80;;75;67;80;55;78;70
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;3973;3389;85%;14%;26%;60%;61%;82;57;48;55;59;52;60;55;53;65;62;45;33;76;0;67;61;71;35;71;55
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;50;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;185;180;97%;13%;23%;64%;63%;85;60;47;59;62;58;61;60;63;67;66;43;;73;;70;67;73;31;77;58
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;152;138;91%;14%;20%;66%;65%;80;59;49;69;59;45;68;63;68;74;65;53;;72;;74;64;74;42;78;56
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;822;709;86%;9%;18%;73%;68%;86;66;54;67;69;57;70;63;63;75;69;55;;79;;71;72;78;49;77;63
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;166;72;43%;14%;18%;68%;64%;74;72;64;56;67;100;64;60;68;85;72;60;66;74;69;73;60;82;48;70;51
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;301;297;99%;6%;9%;85%;76%;92;71;64;64;81;72;80;72;70;81;80;67;89;87;100;81;79;69;73;86;78
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;87;19;22%;11%;16%;74%;67%;95;58;37;42;68;53;58;68;74;76;74;48;50;79;100;75;74;81;52;74;52
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1098;971;88%;6%;14%;80%;72%;92;67;63;66;76;64;75;67;68;74;72;59;;79;;75;74;76;55;85;76
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;280;251;90%;3%;11%;86%;82%;92;76;67;81;82;74;85;75;80;83;83;74;;90;;86;80;84;83;89;84
FORTALEZA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;19291;1566;8%;11%;18%;71%;67%;84;63;55;61;70;62;71;69;65;70;71;55;76;79;77;71;66;73;45;78;63
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;207;197;95%;7%;8%;86%;75%;91;75;70;71;77;59;71;76;71;86;76;70;80;85;89;78;72;75;53;86;76
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;765;684;89%;2%;7%;90%;81%;92;81;73;84;85;79;83;77;76;83;79;70;;93;;83;83;81;63;90;77
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;135;132;98%;2%;2%;95%;86%;96;92;74;88;89;87;92;80;80;83;84;;92;94;;88;89;78;;92;
GUAIUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;99;74;75%;38%;26%;36%;47%;81;46;45;53;32;36;41;41;51;51;55;43;;66;;43;38;52;11;51;53
GUARACIABA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;545;461;85%;5%;7%;89%;77%;93;84;74;70;;;84;77;83;94;86;69;81;;86;66;73;80;61;;75
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;78;96%;4%;12%;85%;74%;97;76;69;66;75;85;80;73;78;81;85;64;81;79;88;79;73;75;40;75;68
HORIZONTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;31;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;194;142;73%;8%;32%;60%;62%;82;52;37;51;62;62;63;55;58;64;68;56;;81;;70;63;79;37;72;49
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;387;324;84%;8%;20%;72%;70%;85;69;55;70;69;65;73;64;65;75;69;50;0;81;0;73;70;75;53;84;66
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;276;261;95%;9%;18%;72%;69%;89;62;59;70;76;63;70;66;62;75;66;54;;83;;70;69;75;44;79;63
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;744;612;82%;16%;28%;56%;59%;83;55;41;56;63;57;54;57;53;61;61;44;;66;;67;60;71;33;72;50
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;259;189;73%;18%;30%;52%;60%;81;62;50;53;54;66;67;49;61;67;74;51;69;62;61;67;49;66;24;70;53
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;164;159;97%;6%;13%;81%;74%;89;81;75;72;0;100;80;68;75;89;80;65;74;50;80;74;69;83;73;50;67
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;124;96%;6%;15%;79%;73%;90;86;65;69;76;59;77;73;76;56;77;63;86;73;83;80;71;75;50;80;69
IPU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;209;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;334;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;92;90;98%;13%;14%;72%;69%;79;81;63;67;;;78;66;71;86;77;57;79;;74;59;63;78;58;;67
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;858;788;92%;11%;19%;70%;65%;84;61;56;63;61;55;70;66;65;74;73;54;74;75;70;64;61;74;44;78;61
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;632;596;94%;12%;21%;67%;65%;83;67;59;64;66;52;74;65;66;65;72;53;75;74;73;68;57;72;39;75;59
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;293;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
JAGUARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;420;396;94%;9%;19%;72%;70%;88;71;55;62;73;64;74;69;68;75;73;53;83;71;73;74;65;79;49;81;65
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;356;333;94%;9%;23%;68%;63%;86;69;53;52;65;59;76;57;66;60;71;49;67;61;63;62;63;75;43;75;62
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;107;100;93%;13%;27%;60%;63%;78;63;53;56;61;65;75;53;65;67;77;49;81;64;58;75;55;59;39;71;62
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;820;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;300;289;96%;8%;13%;79%;74%;90;78;63;63;76;77;77;76;69;76;78;69;75;84;85;73;65;79;65;87;74
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;586;541;92%;9%;12%;79%;69%;83;80;71;62;;;81;70;74;84;82;64;75;;75;62;64;79;50;;64
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;271;214;79%;3%;20%;77%;71%;93;66;60;71;73;65;77;61;63;79;74;45;;86;;75;65;82;50;84;67
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;361;77;21%;18%;19%;62%;61%;86;51;49;54;64;13;68;64;80;73;72;55;72;68;68;5;61;57;43;62;39
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;139;26;19%;4%;27%;69%;65%;85;92;77;48;;;73;77;81;85;77;52;65;;81;62;58;73;38;;52
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;483;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;206;151;73%;7%;19%;75%;71%;85;79;65;65;65;69;78;70;63;76;73;60;78;74;77;70;68;77;53;81;66
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;476;399;84%;6%;15%;79%;74%;90;70;64;72;74;70;76;68;76;77;72;65;;84;;74;76;82;47;85;73
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;582;498;86%;11%;30%;58%;60%;81;61;54;55;52;53;61;56;55;69;61;50;76;73;63;65;58;71;40;70;51
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;229;219;96%;2%;2%;96%;88%;95;93;84;88;89;90;91;83;81;88;86;77;;96;;89;84;86;90;96;93
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;42;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
MIRAIMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;19;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;22;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;132;113;86%;8%;19%;73%;68%;86;72;61;75;69;48;67;68;59;78;54;58;;81;;71;80;73;39;79;58
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;635;522;82%;16%;25%;60%;61%;84;57;50;55;61;49;60;58;59;64;62;49;0;77;0;66;62;71;28;74;55
MUCAMBO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;177;166;94%;1%;5%;93%;84%;91;88;77;76;82;90;87;83;88;88;85;76;82;90;81;91;85;75;69;91;80
MULUNGU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;145;118;81%;7%;10%;83%;78%;90;69;72;81;81;76;73;80;65;82;84;63;;86;;83;79;83;69;86;69
NOVA OLINDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;207;200;97%;0%;1%;99%;92%;99;98;81;87;100;100;97;97;94;96;94;87;95;100;95;92;92;96;82;100;92
NOVA RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
NOVO ORIENTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;367;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
OCARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;298;258;87%;19%;22%;59%;61%;75;70;64;54;64;58;68;61;64;61;66;45;66;66;59;64;51;62;41;72;51
PACAJUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;250;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
PACATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
PACOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;121;117;97%;4%;20%;76%;71%;92;64;69;70;74;66;72;63;60;70;74;48;;81;;74;72;80;59;89;60
PACUJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;77;71;92%;10%;14%;76%;72%;86;63;61;68;75;75;72;68;61;75;75;63;;79;;70;70;81;61;80;76
PALHANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;97;92;95%;15%;21%;64%;64%;86;60;59;55;59;60;73;61;64;67;67;53;92;78;;65;62;70;37;73;60
PALMACIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;113;50;44%;14%;18%;68%;64%;74;62;78;58;62;;72;62;76;;66;50;72;68;80;56;58;62;54;78;59
PARACURU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;642;555;86%;15%;16%;69%;66%;77;64;63;64;66;58;74;63;59;69;68;57;77;75;71;66;65;66;48;76;65
PARAMOTI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;36;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
PEDRA BRANCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;452;414;92%;0%;0%;100%;99%;99;100;92;100;100;100;99;100;100;100;99;99;98;100;100;100;100;98;100;99;99
PENTECOSTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;650;375;58%;21%;18%;62%;66%;74;74;64;60;58;58;69;62;62;63;65;17;75;61;67;74;63;70;67;73;17
PEREIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;166;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
PINDORETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;323;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
PIQUET CARNEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;49;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
PIRES FERREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;136;134;99%;1%;1%;99%;90%;98;89;86;83;89;89;93;94;90;88;92;79;;100;;94;86;89;89;93;89
PORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;160;144;90%;7%;15%;78%;68%;89;72;58;60;71;;86;66;76;;83;63;74;76;80;74;63;64;39;78;65
PORTEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;147;130;88%;8%;23%;68%;65%;88;65;52;43;67;;80;57;67;;78;58;70;72;80;73;62;70;41;81;59
POTENGI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
POTIRETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;105;90;86%;4%;4%;91%;81%;94;69;60;87;87;84;74;78;66;87;86;53;;93;;82;82;87;82;92;73
QUIXELO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;162;18;11%;6%;22%;72%;72%;78;78;44;61;72;61;78;72;72;81;61;50;;89;;72;67;86;50;83;83
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1005;885;88%;3%;7%;90%;80%;91;85;80;77;78;82;89;73;72;86;79;74;86;86;80;85;73;78;69;89;80
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;227;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;416;408;98%;9%;18%;72%;69%;87;62;53;65;73;67;71;68;65;75;71;57;;81;;70;67;75;40;85;69
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;146;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;118;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;351;303;86%;13%;23%;64%;65%;81;69;56;53;66;53;66;62;63;67;68;48;68;82;73;69;61;77;45;81;58
SANTA QUITERIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;414;278;67%;8%;16%;76%;69%;79;75;73;60;68;;79;68;76;;77;61;71;81;74;71;66;64;51;78;63
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;89;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;227;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;651;598;92%;10%;19%;71%;69%;86;66;57;70;73;64;69;66;60;74;66;56;75;78;;75;67;73;49;83;65
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;71;69;97%;10%;20%;70%;69%;80;58;54;77;;61;72;64;63;76;82;57;71;;;72;59;78;55;;67
