Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;37;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;570;532;93%;5%;23%;73%;81%;87;77;85;77;78;87;65;93;85;78;79;81
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;906;706;78%;8%;18%;74%;79%;90;77;86;82;74;93;68;89;81;76;72;80
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;38;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;862;14;2%;36%;50%;14%;46%;82;31;46;36;25;64;29;71;54;50;54;50
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;206;9;4%;22%;11%;67%;71%;83;70;78;78;78;89;44;100;83;44;50;78
CARIDADE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;52;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;198;7;4%;0%;0%;100%;93%;100;100;100;100;100;100;71;100;100;86;71;100
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;172;95%;7%;20%;73%;81%;83;87;83;63;78;86;46;93;80;79;86;80
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;271;224;83%;15%;32%;53%;70%;79;70;77;65;67;82;46;86;69;64;71;61
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;725;83;11%;6%;33%;61%;73%;73;84;72;70;73;88;51;92;77;66;73;69
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;139;99;71%;14%;20%;66%;72%;89;83;75;66;70;91;47;92;73;55;69;68
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;134;85;63%;9%;25%;66%;73%;86;77;85;69;70;91;47;92;75;53;74;82
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;4023;3328;83%;18%;36%;46%;65%;81;67;69;64;61;86;48;85;66;54;61;64
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;211;195;92%;2%;13%;85%;86%;82;89;90;85;85;86;84;95;85;78;88;84
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;170;94%;4%;19%;78%;79%;91;80;83;84;79;96;57;92;76;75;81;79
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;174;156;90%;2%;12%;86%;86%;92;85;91;86;79;95;78;97;83;71;92;90
COREAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;54;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;816;710;87%;11%;24%;65%;74%;86;77;82;74;74;86;56;86;74;53;71;74
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;306;140;46%;7%;30%;63%;76%;73;80;83;74;74;66;73;84;79;68;82;64
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;249;224;90%;4%;10%;86%;88%;93;90;90;87;88;92;81;96;88;85;85;85
CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;483;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;74;12;16%;8%;50%;42%;70%;96;83;79;71;54;100;47;92;46;50;75;75
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;964;914;95%;7%;21%;72%;79%;92;86;85;77;76;93;64;95;76;61;75;78
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;213;89%;1%;6%;93%;90%;94;94;92;91;94;96;78;95;90;91;85;94
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;17837;911;5%;20%;34%;46%;66%;78;64;70;62;59;79;51;82;65;66;61;65
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;243;218;90%;8%;30%;62%;74%;83;81;82;73;73;80;58;91;71;59;67;77
GENERAL SAMPAIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;96;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;773;730;94%;4%;9%;87%;85%;91;83;88;88;81;94;78;93;82;83;82;84
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;62;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;132;128;97%;2%;5%;92%;90%;96;90;94;86;94;91;86;97;91;78;80;93
GUAIUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;341;255;75%;7%;26%;66%;75%;86;76;80;72;64;88;64;87;76;62;80;77
GUARACIABA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;473;45;10%;7%;18%;76%;76%;78;64;81;88;93;87;79;87;70;11;78;84
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;75;70;93%;17%;10%;73%;77%;74;82;69;71;70;85;71;81;88;78;72;80
HORIZONTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;164;124;76%;8%;19%;73%;76%;87;78;84;74;76;90;63;85;75;63;71;79
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;330;293;89%;8%;27%;66%;74%;86;77;76;75;71;89;61;84;72;72;71;76
IBICUITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;23;22;96%;23%;50%;27%;57%;89;68;57;50;50;91;56;77;23;32;45;45
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;325;289;89%;12%;27%;60%;73%;87;73;74;69;63;96;65;90;74;61;67;71
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;723;529;73%;19%;34%;47%;65%;77;68;73;67;66;80;45;83;61;65;55;61
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;180;116;64%;31%;37%;32%;61%;68;59;63;59;56;72;47;81;69;54;50;49
INDEPENDENCIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;7;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;158;134;85%;16%;29%;54%;68%;83;70;74;62;60;85;52;87;68;59;68;66
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;121;119;98%;18%;25%;56%;69%;80;68;71;63;69;76;52;77;74;61;70;70
IPU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;358;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;91;89;98%;8%;9%;83%;82%;74;86;85;70;86;89;78;89;82;82;78;86
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;803;737;92%;9%;27%;63%;76%;82;81;78;75;70;86;63;88;71;70;76;70
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;580;526;91%;13%;33%;54%;71%;81;76;74;62;66;83;45;88;73;65;65;73
ITAPIUNA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;209;176;84%;11%;24%;64%;74%;81;71;75;68;70;84;55;86;81;79;64;77
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
JAGUARIBARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;128;128;100%;12%;25%;63%;71%;85;76;80;68;67;92;56;92;71;43;62;79
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;408;373;91%;10%;29%;61%;73%;87;75;82;71;66;86;54;89;73;64;68;75
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;360;313;87%;15%;39%;46%;68%;75;69;74;65;56;83;52;84;68;63;68;65
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;108;91;84%;10%;33%;57%;71%;88;67;75;64;65;88;49;89;82;75;70;71
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1942;7;0%;0%;29%;71%;75%;100;76;57;71;93;79;79;86;57;86;36;86
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;292;284;97%;5%;19%;76%;80%;83;88;84;77;78;87;59;91;79;74;81;77
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;602;547;91%;13%;40%;47%;70%;78;83;75;58;67;74;33;88;63;61;71;64
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;260;200;77%;2%;18%;80%;82%;93;85;88;83;78;98;68;96;84;62;82;83
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;2992;2654;89%;14%;33%;53%;69%;86;68;75;67;65;91;51;88;67;61;67;68
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1182;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;503;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;193;160;83%;8%;18%;75%;81%;85;86;81;76;78;88;63;92;82;81;81;83
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;467;343;73%;6%;15%;79%;80%;90;83;84;80;81;94;69;92;81;59;76;82
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;562;492;88%;17%;28%;56%;69%;77;72;72;68;61;84;51;84;71;68;67;62
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;246;229;93%;6%;13%;81%;84%;86;91;88;84;84;91;63;94;74;86;81;81
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;63;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MIRAIMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;17;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;497;51;10%;4%;4%;92%;86%;93;78;96;94;94;96;63;90;86;86;91;86
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;166;152;92%;3%;18%;80%;83%;92;89;83;79;85;97;73;89;84;66;76;86
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;625;554;89%;17%;36%;47%;66%;82;66;74;62;60;87;47;84;67;56;60;65
MORRINHOS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;230;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;164;161;98%;3%;8%;89%;89%;93;92;84;92;90;97;87;95;91;68;90;87
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;127;109;86%;1%;10%;89%;87%;96;87;89;88;80;98;86;97;84;83;85;80
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;221;215;97%;0%;0%;100%;99%;100;100;100;100;100;100;91;100;99;100;100;100
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;289;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;338;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;322;307;95%;16%;38%;46%;66%;82;67;71;63;60;87;51;85;64;58;61;64
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PACATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;748;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PACOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;147;135;92%;2%;19%;79%;82%;93;86;84;83;76;99;72;94;82;74;74;81
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;84;78;93%;3%;23%;74%;80%;90;82;84;87;85;96;62;94;85;58;72;82
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;102;89;87%;12%;28%;58%;71%;84;70;76;61;74;92;54;88;74;61;76;39
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;133;100;75%;6%;35%;59%;76%;78;85;79;52;73;77;56;86;79;71;81;77
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;611;542;89%;16%;28%;56%;72%;81;73;72;71;67;88;61;84;71;61;70;69
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;12;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;464;380;82%;0%;1%;99%;99%;100;99;99;99;99;98;100;99;99;98;99;99
PENAFORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;643;393;61%;19%;26%;54%;68%;79;68;72;66;62;85;57;82;69;62;65;65
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;303;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;48;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;101;100;99%;1%;0%;99%;96%;99;95;98;95;97;97;94;97;96;98;96;97
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;151;137;91%;3%;10%;87%;88%;85;94;93;79;84;93;65;93;88;84;92;88
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;268;1;0%;100%;0%;0%;18%;0;0;50;0;50;0;0;0;0;0;100;0
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;67;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;98;85;87%;2%;5%;93%;91%;96;89;93;92;88;98;83;99;92;93;96;91
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;176;18;10%;17%;28%;56%;69%;81;63;75;81;69;89;50;89;69;39;67;78
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1130;894;79%;6%;16%;78%;83%;86;84;87;82;79;87;79;90;84;77;81;82
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;180;31;17%;3%;29%;68%;77%;87;77;87;82;63;94;59;90;77;68;81;77
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;360;316;88%;9%;23%;68%;77%;87;78;82;77;75;89;65;91;76;68;73;72
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;160;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;142;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;305;274;90%;12%;27%;61%;73%;84;79;79;73;66;89;61;84;80;58;64;67
SANTA QUITERIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;425;281;66%;15%;36%;49%;71%;78;83;76;51;70;74;42;84;67;68;65;69
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;103;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;162;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;589;518;88%;9%;25%;66%;76%;88;76;80;74;76;87;60;91;74;74;70;77
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;62;61;98%;3%;18%;79%;81%;62;81;80;80;80;94;76;93;78;69;89;85
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;272;221;81%;8%;13%;80%;83%;86;80;86;79;83;91;64;90;85;84;79;85
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;197;186;94%;9%;15%;76%;78%;88;76;84;80;76;91;68;89;78;69;75;80
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;297;257;87%;13%;32%;55%;73%;87;72;78;63;71;85;49;91;66;64;74;68
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;23;2;9%;0%;0%;100%;84%;100;100;100;50;100;100;50;100;100;100;100;0
TARRAFAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;13;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;564;5;1%;0%;40%;60%;71%;90;60;80;60;50;100;67;100;80;40;70;80
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;280;260;93%;8%;37%;54%;70%;83;76;76;74;58;92;53;90;66;59;65;71
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1266;1049;83%;14%;35%;51%;69%;82;73;74;66;68;87;52;88;69;60;63;62
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;660;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;488;418;86%;8%;29%;63%;75%;85;74;80;72;76;83;64;88;71;61;73;79
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;278;155;56%;9%;23%;68%;74%;88;75;80;72;75;90;55;88;72;63;72;83
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;268;204;76%;13%;32%;54%;71%;81;79;79;71;70;83;48;84;74;47;63;70
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;217;195;90%;6%;11%;84%;86%;89;84;88;82;87;94;72;94;85;86;84;88
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;247;13;5%;0%;31%;69%;84%;85;95;88;92;53;95;63;94;76;59;100;91
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;912;783;86%;8%;23%;69%;76%;89;79;81;75;77;92;59;93;76;59;73;78
