Etapa,Componente Curricular,Descritor,Descrição da Habilidade ,Ciclos,Habilidades,Município,Previstos,Avaliados,Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,Percentual de acertos
1 ANO,LÍNGUA PORTUGUESA,1EF03_P,Reconhecer as direções da escrita.,1,H 03,MARANGUAPE,1118.0,936.0,84,31,32,37,66,66.0
1 ANO,LÍNGUA PORTUGUESA,1EF03_P,Reconhecer as direções da escrita.,1,H 03,PACATUBA,860.0,738.0,86,39,30,31,67,58.0
1 ANO,LÍNGUA PORTUGUESA,1EF04_P,Identificar a correta segmentação das palavras na escrita.,1,H 04,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,53.0
1 ANO,LÍNGUA PORTUGUESA,1EF04_P,Identificar a correta segmentação das palavras na escrita.,1,H 04,EUSEBIO,1008.0,889.0,88,14,18,68,76,58.0
1 ANO,LÍNGUA PORTUGUESA,1EF04_P,Identificar a correta segmentação das palavras na escrita.,1,H 04,GUAIUBA,497.0,306.0,62,45,28,26,57,41.0
1 ANO,LÍNGUA PORTUGUESA,1EF04_P,Identificar a correta segmentação das palavras na escrita.,1,H 04,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF04_P,Identificar a correta segmentação das palavras na escrita.,1,H 04,MARACANAU,3120.0,4.0,0,100,0,0,18,50.0
1 ANO,LÍNGUA PORTUGUESA,1EF04_P,Identificar a correta segmentação das palavras na escrita.,1,H 04,MARANGUAPE,1118.0,936.0,84,31,32,37,66,47.0
1 ANO,LÍNGUA PORTUGUESA,1EF04_P,Identificar a correta segmentação das palavras na escrita.,1,H 04,PACATUBA,860.0,738.0,86,39,30,31,67,45.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,50.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06,EUSEBIO,1008.0,889.0,88,14,18,68,76,55.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06,GUAIUBA,497.0,306.0,62,45,28,26,57,45.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06,MARACANAU,3120.0,4.0,0,100,0,0,18,29.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06,MARANGUAPE,1118.0,936.0,84,31,32,37,66,46.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06,PACATUBA,860.0,738.0,86,39,30,31,67,48.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,63.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07,EUSEBIO,1008.0,889.0,88,14,18,68,76,70.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07,GUAIUBA,497.0,306.0,62,45,28,26,57,57.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07,MARACANAU,3120.0,4.0,0,100,0,0,18,11.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07,MARANGUAPE,1118.0,936.0,84,31,32,37,66,59.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07,PACATUBA,860.0,738.0,86,39,30,31,67,55.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,71.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,EUSEBIO,1008.0,889.0,88,14,18,68,76,83.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,GUAIUBA,497.0,306.0,62,45,28,26,57,55.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,MARACANAU,3120.0,4.0,0,100,0,0,18,40.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,MARANGUAPE,1118.0,936.0,84,31,32,37,66,74.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,PACATUBA,860.0,738.0,86,39,30,31,67,63.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,76.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09,EUSEBIO,1008.0,889.0,88,14,18,68,76,88.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09,GUAIUBA,497.0,306.0,62,45,28,26,57,58.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09,MARACANAU,3120.0,4.0,0,100,0,0,18,7.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09,MARANGUAPE,1118.0,936.0,84,31,32,37,66,64.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09,PACATUBA,860.0,738.0,86,39,30,31,67,60.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,H 10,AQUIRAZ,1238.0,1052.0,85,28,25,47,69,69.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,H 10,EUSEBIO,1008.0,889.0,88,14,18,68,76,83.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,H 10,GUAIUBA,497.0,306.0,62,45,28,26,57,59.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,H 10,ITAITINGA,423.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,H 10,MARACANAU,3120.0,4.0,0,100,0,0,18,25.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,H 10,MARANGUAPE,1118.0,936.0,84,31,32,37,66,70.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",1,H 10,PACATUBA,860.0,738.0,86,39,30,31,67,68.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,2,H 02,AQUIRAZ,1161.0,986.0,85,15,25,61,77,71.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,2,H 02,CAUCAIA,89.0,1.0,1,100,0,0,32,0.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,2,H 02,EUSEBIO,1063.0,933.0,88,7,16,77,83,79.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,2,H 02,GUAIUBA,380.0,304.0,80,20,20,60,73,69.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,2,H 02,ITAITINGA,1240.0,682.0,55,22,31,47,71,61.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,2,H 02,MARACANAU,3080.0,2773.0,90,25,29,46,68,62.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,2,H 02,MARANGUAPE,1137.0,1000.0,88,27,24,48,70,63.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,2,H 02,PACATUBA,868.0,824.0,95,21,30,50,71,64.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",2,H 03,AQUIRAZ,1161.0,986.0,85,15,25,61,77,84.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",2,H 03,CAUCAIA,89.0,1.0,1,100,0,0,32,0.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",2,H 03,EUSEBIO,1063.0,933.0,88,7,16,77,83,87.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",2,H 03,GUAIUBA,380.0,304.0,80,20,20,60,73,81.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",2,H 03,ITAITINGA,1240.0,682.0,55,22,31,47,71,75.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",2,H 03,MARACANAU,3080.0,2773.0,90,25,29,46,68,77.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",2,H 03,MARANGUAPE,1137.0,1000.0,88,27,24,48,70,78.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",2,H 03,PACATUBA,868.0,824.0,95,21,30,50,71,76.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,2,H 04,AQUIRAZ,1161.0,986.0,85,15,25,61,77,86.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,2,H 04,CAUCAIA,89.0,1.0,1,100,0,0,32,0.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,2,H 04,EUSEBIO,1063.0,933.0,88,7,16,77,83,90.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,2,H 04,GUAIUBA,380.0,304.0,80,20,20,60,73,74.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,2,H 04,ITAITINGA,1240.0,682.0,55,22,31,47,71,77.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,2,H 04,MARACANAU,3080.0,2773.0,90,25,29,46,68,78.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,2,H 04,MARANGUAPE,1137.0,1000.0,88,27,24,48,70,84.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,2,H 04,PACATUBA,868.0,824.0,95,21,30,50,71,77.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,2,H 05,AQUIRAZ,1161.0,986.0,85,15,25,61,77,88.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,2,H 05,CAUCAIA,89.0,1.0,1,100,0,0,32,0.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,2,H 05,EUSEBIO,1063.0,933.0,88,7,16,77,83,93.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,2,H 05,GUAIUBA,380.0,304.0,80,20,20,60,73,84.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,2,H 05,ITAITINGA,1240.0,682.0,55,22,31,47,71,82.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,2,H 05,MARACANAU,3080.0,2773.0,90,25,29,46,68,82.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,2,H 05,MARANGUAPE,1137.0,1000.0,88,27,24,48,70,82.0
1 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,2,H 05,PACATUBA,868.0,824.0,95,21,30,50,71,81.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",2,H 06,AQUIRAZ,1161.0,986.0,85,15,25,61,77,85.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",2,H 06,CAUCAIA,89.0,1.0,1,100,0,0,32,50.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",2,H 06,EUSEBIO,1063.0,933.0,88,7,16,77,83,91.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",2,H 06,GUAIUBA,380.0,304.0,80,20,20,60,73,80.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",2,H 06,ITAITINGA,1240.0,682.0,55,22,31,47,71,83.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",2,H 06,MARACANAU,3080.0,2773.0,90,25,29,46,68,74.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",2,H 06,MARANGUAPE,1137.0,1000.0,88,27,24,48,70,81.0
1 ANO,LÍNGUA PORTUGUESA,1EF10_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - um complemento).",2,H 06,PACATUBA,868.0,824.0,95,21,30,50,71,82.0
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",2,H 07,AQUIRAZ,1161.0,986.0,85,15,25,61,77,70.0
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",2,H 07,CAUCAIA,89.0,1.0,1,100,0,0,32,75.0
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",2,H 07,EUSEBIO,1063.0,933.0,88,7,16,77,83,79.0
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",2,H 07,GUAIUBA,380.0,304.0,80,20,20,60,73,66.0
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",2,H 07,ITAITINGA,1240.0,682.0,55,22,31,47,71,67.0
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",2,H 07,MARACANAU,3080.0,2773.0,90,25,29,46,68,60.0
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",2,H 07,MARANGUAPE,1137.0,1000.0,88,27,24,48,70,64.0
1 ANO,LÍNGUA PORTUGUESA,1EF11_P,"Localizar informações explícitas em textos, recuperadas por meio de uma repetição.",2,H 07,PACATUBA,868.0,824.0,95,21,30,50,71,64.0
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,2,H 08,AQUIRAZ,1161.0,986.0,85,15,25,61,77,69.0
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,2,H 08,CAUCAIA,89.0,1.0,1,100,0,0,32,50.0
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,2,H 08,EUSEBIO,1063.0,933.0,88,7,16,77,83,76.0
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,2,H 08,GUAIUBA,380.0,304.0,80,20,20,60,73,73.0
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,2,H 08,ITAITINGA,1240.0,682.0,55,22,31,47,71,64.0
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,2,H 08,MARACANAU,3080.0,2773.0,90,25,29,46,68,62.0
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,2,H 08,MARANGUAPE,1137.0,1000.0,88,27,24,48,70,66.0
1 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,2,H 08,PACATUBA,868.0,824.0,95,21,30,50,71,65.0
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,2,H 09,AQUIRAZ,1161.0,986.0,85,15,25,61,77,58.0
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,2,H 09,CAUCAIA,89.0,1.0,1,100,0,0,32,50.0
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,2,H 09,EUSEBIO,1063.0,933.0,88,7,16,77,83,69.0
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,2,H 09,GUAIUBA,380.0,304.0,80,20,20,60,73,55.0
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,2,H 09,ITAITINGA,1240.0,682.0,55,22,31,47,71,56.0
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,2,H 09,MARACANAU,3080.0,2773.0,90,25,29,46,68,54.0
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,2,H 09,MARANGUAPE,1137.0,1000.0,88,27,24,48,70,54.0
1 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,2,H 09,PACATUBA,868.0,824.0,95,21,30,50,71,58.0
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,3,H 01,AQUIRAZ,1169.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,3,H 01,CAUCAIA,86.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,3,H 01,EUSEBIO,1030.0,946.0,92,5,11,84,83,81.0
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,3,H 01,GUAIUBA,360.0,313.0,87,7,19,74,77,79.0
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,3,H 01,ITAITINGA,786.0,676.0,86,17,25,59,68,64.0
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,3,H 01,MARACANAU,3119.0,2715.0,87,13,21,66,73,74.0
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,3,H 01,MARANGUAPE,1134.0,1023.0,90,13,21,66,73,74.0
1 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,3,H 01,PACATUBA,880.0,794.0,90,18,19,64,71,74.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,3,H 02,AQUIRAZ,1169.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,3,H 02,CAUCAIA,86.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,3,H 02,EUSEBIO,1030.0,946.0,92,5,11,84,83,78.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,3,H 02,GUAIUBA,360.0,313.0,87,7,19,74,77,75.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,3,H 02,ITAITINGA,786.0,676.0,86,17,25,59,68,57.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,3,H 02,MARACANAU,3119.0,2715.0,87,13,21,66,73,69.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,3,H 02,MARANGUAPE,1134.0,1023.0,90,13,21,66,73,64.0
1 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,3,H 02,PACATUBA,880.0,794.0,90,18,19,64,71,66.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",3,H 03,AQUIRAZ,1169.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",3,H 03,CAUCAIA,86.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",3,H 03,EUSEBIO,1030.0,946.0,92,5,11,84,83,90.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",3,H 03,GUAIUBA,360.0,313.0,87,7,19,74,77,87.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",3,H 03,ITAITINGA,786.0,676.0,86,17,25,59,68,81.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",3,H 03,MARACANAU,3119.0,2715.0,87,13,21,66,73,86.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",3,H 03,MARANGUAPE,1134.0,1023.0,90,13,21,66,73,80.0
1 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",3,H 03,PACATUBA,880.0,794.0,90,18,19,64,71,80.0
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,3,H 04,AQUIRAZ,1169.0,0.0,0,0,0,0,0,
1 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,3,H 04,CAUCAIA,86.0,0.0,0,0,0,0,0,
