ANO;UNIDADES TEMÁTICAS;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO INTRACOMPONENTE;RELAÇÃO INTERCOMPONENTE;COMPETÊNCIAS ESPECÍFICAS
1º;Geometria;"Localização de objetos  e de pessoas no espaço, utilizando diversos pontos de referência e vocabulário apropriado;
Esboço do deslocamento realizado";"Orientação e relações por um sistema de coor- denadas de modo a determinar as direções  em cima e embaixo, à frente e atrás, ao lado
(direita e esquerda) em relação ao próprio corpo; Identificação de conceitos espaciais tomando como referência o próprio corpo; Identificação da localização de pessoa e/ou objeto tendo como referência o próprio corpo; Descrição e repre- sentação, por desenho, de situações vivenciadas  e objetos (blocos e massa de modelar etc.), destacando os conceitos e as relações espaciais; Descrever oralmente as representações realizadas destacando as relações espaciais envolvidas;";"(EF01MA11) Descrever a localização de pessoas e de objetos no espaço em
relação à sua própria posição, utilizando termos como à direita, à esquerda, em frente, atrás.";(EF01MA12);(EF12EF12) (EF01GE09) (EF15AR09);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Geometria;"Localização de objetos  e de pessoas no espaço, utilizando diversos pontos de referência e vocabulário apropriado;
Esboço do deslocamento realizado";"Identificação da posição de pessoa e/ou objeto presentes em representações utilizando um  ponto de referência e orientação a partir de seu próprio corpo; Movimentação e/ou deslocamento mediante determinadas orientações espaciais; Orientação de movimentação e/ou deslocamento de outra pessoa fornecendo-lhe determinadas orientações espaciais; Registro de deslocamentos à medida que são realizados, utilizando setas indicadoras de sentido; Reprodução de desloca- mentos em malha quadriculada;";(EF01MA12) Descrever e registrar a localização e o deslocamento de pessoas  e de objetos no espaço segundo um dado ponto de referência, compreendendo que, para a utilização de termos que se referem à posição, como direita, esquerda, em cima, em baixo, é necessário explicitar-se o referencial.;(EF01MA11);(EF12EF12) (EF15AR09);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Geometria;Figuras geométricas espaciais: reconhecimen- to e relações com objetos familiares do mundo físico;"Identificação de figuras tridimensionais, deno- minando-as (cubo, esfera e paralelepípedo); Identificação das formas tridimensionais nos elementos da natureza e nos objetos construídos pelo homem; Reprodução de formas geométricas tridimensionais; Verificação de características observáveis nas figuras tridimensionais, como: formas arredondadas ou pontudas, superfícies planas ou curvilíneas, possibilidade de rolar ou não, dentre outras;";(EF01MA13) Relacionar figuras geomé- tricas espaciais (cones, cilindros, esferas e blocos retangulares) a objetos familiares do mundo físico.;(EF01MA14);(EF15AR01) (EF15AR02) (EF15AR04) (EF15AR23) (EF15AR26);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Geometria;Figuras geométricas planas: reconhecimento do formato das faces  de figuras geométricas espaciais;"Identificação de figuras planas, nomeando-as (círculo, quadrado, retângulo, triângulo); Iden- tificação de formas planas nos elementos da natureza e nos objetos construídos pelo homem; Identificação de figuras geométricas planas, considerando o número de lados de cada uma, diferenças e semelhanças; Reprodução de figuras planas por meio de recortes e dobraduras;";(EF01MA14) Identificar e nomear figuras planas (círculo, quadrado, retângulo e triângulo) em desenhos apresentados em diferentes disposições ou em contornos de faces de sólidos geométricos.;(EF01MA13);(EF15AR01) (EF15AR02) (EF15AR04) (EF15AR23) (EF15AR26);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Grandezas e medidas;Medidas de comprimen- to, massa e capacidade: comparações e unidades de medida não conven- cionais;"Medição de comprimentos utilizando unidades de medida não padronizadas (polegada, palmo, pé, passo); Comparação dos resultados de medições realizadas com o uso de medidas não padroni- zadas; Utilização de termos como: menor, maior, médio, alto, baixo, comprido, curto, estreito,  largo, longe, perto; Comparação da massa de objetos em vivências, determinando o pesado/ leve; Medição de capacidades utilizando unidades de medida não padronizadas; Comparação de capacidade de diferentes recipientes; Utilização dos termos cheio/vazio;";(EF01MA15) Comparar comprimentos, capacidades ou massas, utilizando ter- mos como mais alto, mais baixo, mais comprido, mais curto, mais grosso, mais fino, mais largo, mais pesado, mais leve, cabe mais, cabe menos, entre outros, para ordenar objetos de uso cotidiano.;;(EF15AR10);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
1º;Grandezas e medidas;Medidas de tempo: unidades de medida de tempo, suas relações e o uso do calendário;"Estabelecimento de relações de ordem temporal; Associação de atividades do cotidiano a períodos do dia; Reconhecimento do caráter cíclico de certas atividades e fenômenos; Utilização dos termos: antes, entre, depois, ontem, hoje, ama- nhã, agora, já, pouco tempo, muito tempo, ao mesmo tempo, depressa e devagar; Localização de atividades no quadro das rotinas diárias de sala de aula e nos dias da semana;";(EF01MA16) Relatar em linguagem verbal ou não verbal sequência de acontecimen- tos relativos a um dia, utilizando, quando possível, os horários dos eventos.;(EF01MA17) (EF01MA18);(EF01GE05) (EF01LP17);"Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho. Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais
e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes."
1º;Grandezas e medidas;Medidas de tempo: unidades de medida de tempo, suas relações e o uso do calendário;"Medição do tempo gasto nas atividades de sala de aula utilizando unidades não padronizadas e  a ampulheta; Utilização do relógio digital para marcar o tempo; Reconhecimento da sequência dos dias da semana, nomeando-os corretamente; Identificação do calendário como instrumento de medida de tempo;";(EF01MA17) Reconhecer e relacionar períodos do dia, dias da semana e meses do ano, utilizando calendário, quando necessário.;(EF01MA16) (EF01MA18);(EF01LP20) (EF01GE05);Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
1º;Grandezas e medidas;Medidas de tempo: unidades de medida de tempo, suas relações e o uso do calendário;"Utilização de calendário linear para identificação de determinado dia, do dia anterior e do dia seguinte;";(EF01MA18) Produzir a escrita de uma data, apresentando o dia, o mês e o ano, e indicar o dia da semana de uma data, consultando calendários.;(EF01MA16) (EF01MA17);(EF01LP17) (EF01LP20) (EF01CI05) (EF01GE05);Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
1º;Grandezas e medidas;Sistema monetário brasi- leiro: reconhecimento de cédulas e moedas;"Identificação de cédulas e moedas do Sistema Monetário Brasileiro; Realização de equivalências entre cédulas do Sistema Monetário Brasileiro; Utilização de dinheiro em brincadeiras";(EF01MA19) Reconhecer e relacionar valores de moedas e cédulas do sistema monetário brasileiro para resolver situa- ções simples do cotidiano do estudante.;(EF01MA06) (EF01MA08);;Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
1º;Probabilidade e estatística;Noção de acaso;"Identificação de situações utilizando os termos possível, talvez aconteça e impossível; Experimen- tação com moedas e dados para compreensão da aleatoriedade;";(EF01MA20) Classificar eventos envolven- do o acaso, tais como “acontecerá com certeza”, “talvez aconteça” e “é impossível acontecer”, em situações do cotidiano.;;(EF01LP21);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
1º;Probabilidade e estatística;Leitura de tabelas e de gráficos de colunas simples;"Leitura e localização de informações e dados em tabelas simples; Leitura de informações e dados em gráfico pictórico e de colunas produzidos, ou não, pela turma; Interpretação de informações
e dados, explícitos e implícitos, em gráficos de colunas.";(EF01MA21) Ler dados expressos em tabelas e em gráficos de colunas simples.;(EF01MA22);(EF01LP22);Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
1º;Probabilidade e estatística;"Coleta e organização de informações
Registros pessoais para comunicação de informa- ções coletadas";"Preenchimento de tabela simples com dados rela- tivos a atividades de sala de aula; Preenchimento de gráfico pictórico com dados relativos a ativida- des de sala de aula; Preenchimento de gráfico de colunas simples em malha quadriculada;";(EF01MA22) Realizar pesquisa, envolven- do até duas variáveis categóricas de seu interesse e universo de até 30 elementos,  e organizar dados por meio de representa- ções pessoais.;(EF01MA21);(EF01LP22) (EF01LP23) (EF01LP24);"Interagir com seus pares de forma cooperativa, trabalhando coletivamente no planejamento e
desenvolvimento de pesquisas para responder a questionamentos e na busca de soluções para problemas, de modo a identificar aspectos consensuais ou não na discussão de uma determinada questão, respeitando o modo de pensar dos colegas e aprendendo com eles."
2º;Números;"Leitura, escrita, com- paração e ordenação de números de até três
ordens pela compreensão de características do sistema de numeração decimal (valor posicional e papel do zero)";"Realização de contagem oral da sequência numérica de 1 em 1, 2 em 2, 5 em 5 e 10 em 10 a partir de um número determinado; Utilização da calculadora para a produção de escritas numéri- cas; Identificação das duas primeiras ordens do sistema de numeração decimal, nomeando-as; Identificação da posição das duas primeiras ordens do sistema de numeração decimal em números de dois algarismos;";(EF02MA01) Comparar e ordenar números naturais (até a ordem de centenas) pela compreensão de características do sistema de numeração decimal (valor posicional e função do zero).;(EF02MA04) (EF02MA09) (EF02MA02) (EF02MA03);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
2º;Números;"Leitura, escrita, com- paração e ordenação de números de até três
ordens pela compreensão de características do sistema de numeração decimal (valor posicional e papel do zero)";"Realização de estimativas, aproximações e cálculo mental; Realização de contagem de objetos de um grupo estabelecendo correspondência entre o objeto contado e o nome do número, mantendo  a sequência dos nomes numéricos e contando todos os objetos sem omitir nenhum; Registro do número de objetos obtidos em uma contagem;
Escrita correta dos algarismos; Escrita de números de dois e três algarismos; Leitura de números de dois e três algarismos; Representação de núme- ros com dois algarismos utilizando diferentes materiais (ábaco, fichas, material dourado, dentre outros);";(EF02MA02) Fazer estimativas por meio de estratégias diversas a respeito da quan- tidade de objetos de coleções e registrar o resultado da contagem desses objetos (até 1000 unidades).;(EF02MA01) (EF02MA03) (EF02MA04);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
2º;Números;"Leitura, escrita, com- paração e ordenação de números de até três
ordens pela compreensão de características do sistema de numeração decimal (valor posicional e papel do zero)";"Estabelecimento de relações numéricas para obter os resultados dos fatos fundamentais; Comparação de grupos de objetos utilizando diferentes estratégias para quantificá-los (corres- pondência, estimativa); Associação entre dezena/ unidades determinando que 1 dezena é igual
a 10 unidades; Identificação de números pares resultantes de agrupamentos de dois objetos e números ímpares por exclusão;";(EF02MA03) Comparar quantidades de objetos de dois conjuntos, por estimativa e/ou por correspondência (um a um, dois  a dois, entre outros), para indicar “tem mais”, “tem menos” ou “tem a mesma quantidade”, indicando, quando for o caso, quantos a mais e quantos a menos.;(EF02MA01) (EF02MA02) (EF02MA04);(EF12EF12);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
2º;Números;Composição e decom- posição de números naturais (até 1000);"Composição e decomposição de números  naturais de dois algarismos; Realização de agrupamentos de dez determinando o número  de grupos e a quantidade de objetos que sobram; Realização de agrupamentos de dez dando origem a dezenas; Registro dos números obtidos nos agrupamentos; Identificação de um objeto do grupo como 1 unidade; Identificação do grupo de dez como 1 dezena;";(EF02MA04) Compor e decompor nú- meros naturais de até três ordens, com suporte de material manipulável, por meio de diferentes adições.;(EF02MA01) (EF02MA02) (EF02MA03);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
2º;Números;Construção de fatos fundamentais da adição e da subtração;"Identificação dos fatos fundamentais da adição e da subtração; Registro dos fatos fundamentais da adição e da subtração na forma horizontal e
vertical; Resolução de adição e de subtração com números de um algarismo (fato fundamental) para obter o resultado; Demonstração, com uso de materiais, que dois ou mais grupos de objetos podem ser reunidos, passando a constituir um grupo maior; Demonstrar, com uso de materiais, que um ou mais objetos podem ser acrescen- tados a outro grupo tendo como resultado
um  grupo maior;  Demonstração, com uso de materiais, que é possível retirar um grupo de objetos de outro grupo, desde que este seja igual ou maior; Comparação de dois grupos  de objetos para descobrir a diferença numérica entre eles, ou seja, quanto um possui a mais ou a menos (com- paração de quantidades); Indicação de quantos objetos faltam a um grupo para que este tenha uma determinada quantidade; Utilização de esti- mativa ao trabalhar com quantidades; Realização de cálculos utilizando estratégias próprias;";(EF02MA05) Construir fatos básicos da adição e subtração e utilizá-los no cálculo mental ou escrito.;(EF02MA06) (EF02MA07) (EF02MA08);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
2º;Números;"Problemas envolvendo diferentes significados da adição e da subtração
(juntar, acrescentar, sepa- rar, retirar e comparar)";"Resolução de problemas envolvendo diferentes significados da adição e da subtração utilizando estratégias próprias; Descrição do processo de resolução dos problemas resolvidos; Elaboração de problemas envolvendo os diferentes significa- dos da adição e da subtração;";(EF02MA06) Resolver e elaborar proble- mas de adição e de subtração, envolvendo números de até três ordens, com os significados de juntar, acrescentar, separar, retirar, comparar, utilizando estratégias pessoais ou convencionais.;(EF02MA05) (EF02MA07) (EF02MA08) (EF02MA20);(EF12EF03);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
2º;Números;Problemas envolvendo adição de parcelas iguais (multiplicação) e subtra- ções sucessivas (divisão);"Utilização de estimativa ao trabalhar com quantidades; Realização de cálculos utilizando estratégias próprias; Estabelecimento de  relações numéricas para obter os resultados dos fatos fun- damentais; Demonstração, com uso de materiais, que quantidades iguais podem ser reunidas para se obter outra, relacionando a adição de números iguais à multiplicação com uso da expressão “vezes”; Estabelecimento da relação de propor- cionalidade entre dois números em diferentes contextos; Demonstração com uso de materiais que uma mesma  quantidade pode ser repartida em partes numericamente iguais.
Interpretação de situações que demandam ação de reunir quantidades iguais nas vivências do cotidiano; Interpretação de situações que demandam ação de repartir uma quantidade em partes iguais nas vivências; Resolução de
problemas envolvendo diferentes significados da multiplicação e da divisão utilizando estratégias próprias; Descrição do processo de resolução dos problemas resolvidos; Elaboração de problemas envolvendo os diferentes significados da multipli- cação e da divisão;";(EF02MA07) Resolver e elaborar proble- mas de multiplicação e de divisão (por 2, 3, 4 e 5) com a ideia de adição de parcelas iguais (multiplicação) ou subtrações su- cessivas (divisão), por meio de estratégias e formas de registro pessoais, utilizando ou não suporte de imagens e/ou material manipulável.;(EF02MA07) (EF02MA05) (EF02MA06) (EF02MA08) (EF02MA20);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
2º;Números;Problemas envolvendo significados de dobro, metade, triplo e terça parte;"Interpretação das noções de dobro, metade,  triplo e terça parte, usando modelos concretos ou geométricos; Resolução e elaboração de situações que envolvem o dobro, a metade, o triplo e a terça parte";(EF02MA08) Resolver e elaborar proble- mas envolvendo dobro, metade, triplo e terça parte, com o suporte de imagens ou material manipulável, utilizando estraté- gias pessoais.;(EF02MA05) (EF02MA06) (EF02MA07) (EF02MA20) (EF02MA22);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
2º;Álgebra;Construção de sequên- cias repetitivas e de sequências recursivas;"Ordenação de números de dois algarismos em séries crescente e decrescente; Indicação do nú- mero que vem logo após outro ou imediatamente antes de outro (sucessor e antecessor); Inserção de objeto em um grupo em que os objetos estão seriados;";(EF02MA09) Construir sequências de números naturais em ordem crescente ou decrescente a partir de um número qualquer, utilizando uma regularidade estabelecida.;(EF02MA10) (EF02MA11) (EF02MA01);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
2º;Álgebra;Identificação de regu- laridade de sequências e determinação de elementos ausentes na sequência;"Reconhecimento de regularidades em sequências; Identificação e descrição do padrão de uma sequência; Identificação de regularidade de sequências e determinação de elementos ausen- tes na sequência.";(EF02MA10) Descrever um padrão (ou regularidade) de sequências repetitivas e de sequências recursivas, por meio de palavras, símbolos ou desenhos.;(EF02MA09) (EF02MA11);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
