ANO;CAMPOS DE ATUAÇÃO;PRÁTICAS DE LINGUAGEM;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO DENTRO DO PRÓPRIO COMPONENTE;RELAÇÃO ENTRE COMPONENTES;COMPETÊNCIAS ESPECÍFICAS
1º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Alfabetização);Sinonímia e antonímia/ Morfologia/ Pontuação;Uso de sinônimos e antônimos;(EF01LP15) Agrupar palavras pelo critério de aproximação de significado (sinonímia) e separar palavras pelo critério de oposição de significado (antonímia).;;(EF01MA09);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;CAMPO DA VIDA COTIDIANA;Leitura/escuta (compartilhada e autônoma);Compreensão em leitura;"Leitura e compreensão de textos da vida cotidiana, considerando a
organização, o contexto de produção e o assunto.";(EF01LP16) Ler e compreender, em colaboração com os colegas e com a ajuda do professor, quadras, qua- drinhas, parlendas, trava-línguas, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/ assunto do texto e relacionando sua forma de organização à sua finalidade.;;(EFO1MA08) (EF05CI08) (EF01GE03);Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
1º;CAMPO DA VIDA COTIDIANA;Escrita (compartilhada e autônoma);Escrita autônoma e compartilhada;Planejamento e produção colabora- tivos de listas, agendas, calendários, avisos, convites, receitas, instruções  de montagem e legendas para álbuns, fotos ou ilustrações (digitais ou impressos), dentre outros gêneros do campo da vida cotidiana, consideran- do a situação comunicativa e o tema/ assunto/ finalidade do texto.;"(EF01LP17) Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, listas, agen- das, calendários, avisos, convites, receitas, instruções de montagem
e legendas para álbuns, fotos ou ilustrações (digitais ou impressos), dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/ assunto/ finalidade do texto.";;(EF01MA16) (EF01MA18) (EF01CI05) (EF05CI08);Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
1º;CAMPO DA VIDA COTIDIANA;Escrita (compartilhada e autônoma);Escrita autônoma e compartilhada;Produção de textos do campo da vida cotidiana, de modo coletivo, consi- derando o contexto de produção, o assunto e a finalidade do texto.;(EF01LP18) Registrar, em colabora- ção com os colegas e com a ajuda do professor, cantigas, quadras, quadrinhas, parlendas, trava-lín- guas, dentre outros gêneros do campo da vida cotidiana, conside- rando a situação comunicativa e o tema/assunto/finalidade do texto.;;(EF01GE08) (EF01GE03);"Compreender a língua como um fenômeno cultural, histórico, social, variável, heterogêneo e sensível aos contextos de uso reconhecendo-
-a como meio de construção de identidades de seus usuários e da comunidade a que pertence."
1º;CAMPO DA VIDA COTIDIANA;Oralidade;Produção de texto oral;Recitação de texto literários, levan- do-se em consideração a entonação e as rimas.;(EF01LP19) Recitar parlendas, quadras, quadrinhas, trava-lín- guas, com entonação adequada e observando as rimas.;EF03LP27;(EF01GE08);Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
1º;CAMPO DA VIDA COTIDIANA;Análise linguís- tica/semiótica (Alfabetização);Forma de composição do texto;Identificação e produção da estru- tura dos gêneros textuais primários, listas, agendas, calendários, regras, avisos, convites, receitas, manual de instruções, legendas, em meio digital e impresso.;(EF01LP20) Identificar e reproduzir, em listas, agendas, calendários, regras, avisos, convites, receitas, instruções de montagem e legen- das para álbuns, fotos ou ilus- trações (digitais ou impressos), a formatação e diagramação específi- ca de cada um desses gêneros.;;(EF01MA17) (EF01MA18) (EF05CI08) (EF01GE01);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares,) e de se envolver com maior autonomia e protagonismo na vida social.
1º;CAMPO DA VIDA PÚBLICA;Escrita (compartilhada e autônoma);Escrita compartilhada;Produção colaborativa de textos do campo da atuação cidadã, conside- rando a organização, o contexto de produção e o assunto.;"(EF01LP21) Escrever, em cola- boração com os colegas e com a ajuda do professor, listas de regras e regulamentos que organizam
a vida na comunidade escolar, dentre outros gêneros do campo da atuação cidadã, considerando a situação comunicativa e o tema/ assunto do texto.";;(EFO1MA20) (EF01GE03);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Escrita (compartilhada e autônoma);Produção de textos;Planejamento e produção, de forma coletiva, de textos do campo inves- tigativo, considerando o contexto de produção, o assunto e a finalidade do texto.;(EF01LP22) Planejar e produzir,  em colaboração com os colegas e com a ajuda do professor, dia- gramas, entrevistas, curiosidades, dentre outros gêneros do campo investigativo, digitais ou impressos, considerando a situação comuni- cativa e o tema/assunto/finalidade do texto.;EF05LP19;(EFO1MA21) (EF01MA22);Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
1º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Oralidade;Planejamento de texto oral Exposição oral;Planejamento e produção, de forma coletiva, de textos do campo inves- tigativo, considerando o contexto de produção, o assunto e a finalidade do texto.;"(EF01LP23) Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, entrevistas, curiosidades, dentre outros gêne- ros do campo investigativo, que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando
a situação comunicativa e o tema/ assunto/finalidade do texto.";;;Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
1º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Análise linguís- tica/semiótica (Alfabetização);Forma de composição dos textos/Adequação do texto às normas de escrita;Identificação e Produção da estrutura dos gêneros textuais diagrama, entre- vista, enunciado de tarefas escolares e curiosidades.;(EF01LP24) Identificar e repro- duzir, em enunciados de tarefas escolares, diagramas, entrevistas, curiosidades, digitais ou impressos, a formatação e diagramação espe- cífica de cada um desses gêneros, inclusive em suas versões orais.;;(EFO1MA22);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares,) e de se envolver com maior autonomia e protagonismo na vida social.
1º;CAMPO ARTÍSTICO- LITERÁRIO;Escrita (compartilhada e autônoma);Escrita autônoma e compartilhada;Produção, em regime colaborativo, de recontos.;(EF01LP25) Produzir, tendo o pro- fessor como escriba, recontagens de histórias lidas pelo professor, histórias imaginadas ou baseadas em livros de imagens, observando a forma de composição de textos narrativos (personagens, enredo, tempo e espaço).;EF15LP19 EF15LP15 EF02LP26 EF02LP27 EF35LP21;(EF01GE08);Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
1º;CAMPO ARTÍSTICO- LITERÁRIO;Análise linguís- tica/semiótica (Alfabetização);Formas de composição de narrativas;Identificação da estrutura das narrati- vas em histórias lidas ou contadas.;(EF01LP26) Identificar elementos de uma narrativa lida ou escutada, incluindo personagens, enredo, tempo e espaço.;;(EF01GE08) (EF01GE05);Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
1º, 2º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Decodificação/ Fluência de leitura;Leitura fluente de palavras;(EF12LP01) Ler palavras novas com precisão na decodificação, no caso de palavras de uso frequente, ler globalmente, por memorização.;EF35LP01;;Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, expe- riências, ideias e sentimentos,
1º, 2º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Formação de leitor;Leitura compartilhada de textos impressos e digitais.;(EF12LP02) Buscar, selecionar e ler, com a mediação do professor (leitura compartilhada), textos que circulam em meios impressos ou digitais, de acordo com as necessi- dades e interesses.;;;"Mobilizar práticas da cultura digital, diferentes linguagens, mídias e ferramentas digitais
para expandir as formas de produzir sentidos (nos processos de compreensão e produção), aprender e refletir sobre o mundo e realizar diferentes projetos autorais."
1º, 2º;TODOS OS CAMPOS DE ATUAÇÃO;Escrita (compartilhada e autônoma);"Construção do sistema alfabético/ Estabelecimento de relações anafóricas na referenciação
e construção da coesão";Cópia de textos curtos, mantendo suas características e voltando para o texto sempre que tiver dúvidas sobre sua distribuição gráfica, espaçamento entre as palavras, escrita das palavras e pontuação.;(EF12LP03) Copiar textos breves, mantendo suas características e voltando para o texto sempre que tiver dúvidas sobre sua distribuição gráfica, espaçamento entre as palavras, escrita das palavras e pontuação.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA COTIDIANA;Leitura/escuta (compartilhada e autônoma);Compreensão em leitura;Leitura e compreensão partilhadas de textos do campo da vida cotidiana.;(EF12LP04) Ler e compreender, em colaboração com os colegas e com a ajuda do professor ou já com certa autonomia, listas, agendas, calendários, avisos, convites, receitas, instruções de montagem (digitais ou impressos), dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto do texto e relacionando sua forma de organização à sua finalidade.;;(EF01GE0);Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
1º, 2º;CAMPO DA VIDA COTIDIANA;Escrita (compartilhada e autônoma);Escrita compartilhada;"Planejamento e produção, de forma coletiva, de textos do campo artístico-
-literário, considerando o contexto de produção e a finalidade do texto.";"(EF12LP05) Planejar e produzir, em colaboração com os colegas  e com a ajuda do professor, (re) contagens de histórias, poemas e outros textos versificados (letras de canção, quadrinhas, cordel),
poemas visuais, tiras e histórias em quadrinhos, dentre outros gêneros do campo artístico-literário, consi- derando a situação comunicativa e a finalidade do texto.";;(EF02GE02) (EF12EF06);Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura
1º, 2º;CAMPO DA VIDA COTIDIANA;Oralidade;Produção de texto oral;Planejamento e produção, de forma compartilhada, de textos do campo da vida cotidiana, considerando seu contexto de produção, seu assunto e sua finalidade e a possibilidade de produzi-los oralmente, por meio de ferramentas digitais, em áudio ou vídeo.;"(EF12LP06) Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, recados, avi- sos, convites, receitas, instruções de montagem, dentre outros gêneros do campo da vida cotidiana, que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando
a situação comunicativa e o tema/ assunto/finalidade do texto.";;(EF01GE02);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA COTIDIANA;Análise linguís- tica/semiótica (Alfabetização);Forma de composição do texto;Identificação e reprodução de cantigas, quadrinhas, parlendas, trava-línguas e canções, levando-se em consideração o ritmo, as rimas, a melodia e seus efeitos de sentido.;(EF12LP07) Identificar e (re) produzir, em cantiga, quadras, qua- drinhas, parlendas, trava-línguas e canções, rimas, aliterações, asso- nâncias, o ritmo de fala relacionado ao ritmo e à melodia das músicas e seus efeitos de sentido.;;(EF02GE01);Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
1º, 2º;CAMPO DA VIDA PÚBLICA;Leitura/escuta (compartilhada e autônoma);Compreensão em leitura;"Leitura e compreensão partilhadas de textos do campo jornalístico, consi- derando seu contexto de produção
e assunto.";"(EF12LP08) Ler e compreender, em colaboração com os colegas e com a ajuda do professor, fotolegendas em notícias, manchetes e lides em notícias, álbum de fotos digital noticioso e notícias curtas para
o público infantil, dentre outros gêneros do campo jornalístico, con- siderando a situação comunicativa e o tema/assunto do texto.";;(EF02GE09);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA PÚBLICA;Leitura/escuta (compartilhada e autônoma);Compreensão em leitura;Leitura e compreensão partilhadas de textos publicitários, considerando seu contexto de produção e assunto.;(EF12LP09) Ler e compreender, em colaboração com os colegas e com a ajuda do professor, slogans, anúncios publicitários e textos de campanhas de conscientização destinados ao público infantil, dentre outros gêneros do campo publicitário, considerando a situação comunicativa e o tema/ assunto do texto.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA PÚBLICA;Leitura/escuta (compartilhada e autônoma);Compreensão em leitura;Leitura e compreensão partilhadas de textos que organizam a vida escolar, considerando seu contexto de produ- ção e assunto.;"(EF12LP10) Ler e compreender,  em colaboração com os colegas e com a ajuda do professor, cartazes, avisos, folhetos, regras e regula- mentos que organizam a vida na comunidade escolar, dentre outros gêneros do campo da atuação cidadã, considerando a situação comunicativa e o tema/assunto
do texto.";;(EF01GE07);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA PÚBLICA;Escrita (compartilhada e autônoma);Escrita compartilhada;"Produção colaborativa de fotolegen- das em notícias, manchetes e lides
em notícias, álbum de fotos digital no- ticioso e notícias curtas para o público infantil, digitais ou impressos, dentre outros gêneros do campo jornalístico, considerando a situação comunicativa e o tema/assunto do texto.";(EF12LP11) Escrever, em colabora- ção com os colegas e com a ajuda do professor, fotolegendas em notí- cias, manchetes e lides em notícias, álbum de fotos digital noticioso e notícias curtas para público infantil, digitais ou impressos, dentre outros gêneros do campo jornalístico, con- siderando a situação comunicativa e o tema/assunto do texto.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA PÚBLICA;Escrita (compartilhada e autônoma);Escrita compartilhada;Produção de textos do campo publi- citário, considerando seu contexto de produção e assunto.;"(EF12LP12) Escrever, em colabora- ção com os colegas e com a ajuda do professor, slogans, anúncios publicitários e textos de campanhas de conscientização destinados
ao público infantil, dentre outros gêneros do campo publicitário, considerando a situação comuni- cativa e o tema/ assunto/finalidade do texto.";;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA PÚBLICA;Oralidade;Produção de texto oral;Planejamento coletivo de slogans e peças de campanhas publicitárias destinadas ao público infantil, na modalidade oral, por meio de ferra- mentas digitais, em áudio ou vídeo, considerando seu contexto de produ- ção, assunto e finalidade do texto.;(EF12LP13) Planejar, em cola- boração com os colegas e com a ajuda do professor, slogans e peça de campanha de conscientização destinada ao público infantil que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/ assunto/finalidade do texto.;;(EF02CI03) (EF04CI08) (EF08CI09);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA PÚBLICA;Análise linguís- tica/semiótica (Alfabetização);Forma de composição do texto;Identificação e produção de fotole- gendas de notícias, álbum de fotos de notícias, cartas do leitor, digitais ou impressas.;"(EF12LP14) Identificar e reproduzir, em fotolegendas de notícias, álbum de fotos digital noticioso, cartas
de leitor (revista infantil), digitais ou impressos, a formatação e a diagramação específica de cada um desses gêneros, inclusive em suas versões orais.";;(EF01GE09);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA PÚBLICA;Análise linguís- tica/semiótica (Alfabetização);Forma de composição do texto;Identificação da composição de slogans publicitários.;(EF12LP15) Identificar a forma de composição de slogans publi- citários.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
1º, 2º;CAMPO DA VIDA PÚBLICA;Análise linguís- tica/semiótica (Alfabetização);Forma de composição do texto;Identificação e produção de anúncios publicitários e textos de campanhas de conscientização destinados ao pú- blico infantil, orais e escritos, digitais ou impressos, considerando também o uso da imagem.;(EF12LP16) Identificar e reproduzir, em anúncios publicitários e textos de campanhas de conscientização destinados ao público infantil (orais e escritos, digitais ou impressos), a formatação e a diagramação espe- cífica de cada um desses gêneros, inclusive o uso de imagens.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
