Etapa,Componente Curricular,Descritor,Descrição da Habilidade ,Ciclos,Habilidades
1 ANO,LÍNGUA PORTUGUESA,1EF15_P,Identificar a finalidade de um texto do campo de atuação da vida cotidiana.,1,
1 ANO,MATEMÁTICA,1EF01_M,"Contar a quantidade de objetos de uma coleção contendo até 20 elementos, apresentando o resultado em registro numérico.",1,H 45
1 ANO,MATEMÁTICA,1EF02_M,"Comparar quantidades de objetos de coleções, contendo até 20 elementos cada, com suporte de imagens, indicando qual tem mais, qual tem menos ou quais têm a mesma quantidade.",1,H 46
1 ANO,MATEMÁTICA,1EF06_M,"Classificar objetos segundo atributos de cor, forma ou medida.",1,H 47
1 ANO,MATEMÁTICA,1EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima ou embaixo).",1,H 49
1 ANO,MATEMÁTICA,1EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera ou bloco retangular) em objetos do mundo físico, pela sua forma.",1,H 50
1 ANO,MATEMÁTICA,1EF10_M,"Reconhecer figuras geométricas planas (círculo, quadrado, retângulo ou triângulo) desenhadas em diferentes disposições.",1,H 51
1 ANO,MATEMÁTICA,1EF11_M,"Comparar objetos de uso cotidiano por meio de um dos atributos: comprimento, capacidade ou massa.",1,H 52
1 ANO,MATEMÁTICA,1EF01_M,"Contar a quantidade de objetos de uma coleção contendo até 20 elementos, apresentando o resultado em registro numérico.",1,
1 ANO,MATEMÁTICA,1EF02_M,"Comparar quantidades de objetos de coleções, contendo até 20 elementos cada, com suporte de imagens, indicando qual tem mais, qual tem menos ou quais têm a mesma quantidade.",1,
1 ANO,MATEMÁTICA,1EF03_M,"Comparar números naturais formados por até dois algarismos, em situações do cotidiano, indicando o menor ou o maior dentre eles.",1,
1 ANO,MATEMÁTICA,1EF04_M,"Utilizar a operação de adição entre números naturais, formados por até dois algarismos, envolvendo o significado de juntar ou de acrescentar, com suporte de imagens, na resolução de problema.",1,
1 ANO,MATEMÁTICA,1EF06_M,"Classificar objetos segundo atributos de cor, forma ou medida.",1,
1 ANO,MATEMÁTICA,1EF07_M,"Determinar termos ausentes em sequências de figuras.Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima ou embaixo).",1,
1 ANO,MATEMÁTICA,1EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima ou embaixo).",1,
1 ANO,MATEMÁTICA,1EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera ou bloco retangular) em objetos do mundo físico, pela sua forma.",1,
1 ANO,MATEMÁTICA,1EF10_M,"Reconhecer figuras geométricas planas (círculo, quadrado, retângulo ou triângulo) desenhadas em diferentes disposições.",1,
1 ANO,MATEMÁTICA,1EF11_M,"Comparar objetos de uso cotidiano por meio de um dos atributos: comprimento, capacidade ou massa.",1,
1 ANO,MATEMÁTICA,1EF13_M,"Identificar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",1,
1 ANO,MATEMÁTICA,1EF03_M,"Comparar números naturais formados por até dois algarismos, em situações do cotidiano, indicando o menor ou o maior dentre eles.",1,
1 ANO,MATEMÁTICA,1EF04_M,"Utilizar a operação de adição entre números naturais, formados por até dois algarismos, envolvendo o significado de juntar ou de acrescentar, com suporte de imagens, na resolução de problema.",1,
1 ANO,MATEMÁTICA,1EF05_M,"Utilizar a operação de subtração entre números naturais, formados por até dois algarismos, envolvendo o significado de retirar ou de separar, com suporte de imagens, na resolução de problema.",1,
1 ANO,MATEMÁTICA,1EF07_M,Determinar termos ausentes em sequências de figuras.,1,
1 ANO,MATEMÁTICA,1EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima ou embaixo).",1,
1 ANO,MATEMÁTICA,1EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera ou bloco retangular) em objetos do mundo físico, pela sua forma.",1,
1 ANO,MATEMÁTICA,1EF10_M,"Reconhecer figuras geométricas planas (círculo, quadrado, retângulo ou triângulo) desenhadas em diferentes disposições.",1,
1 ANO,MATEMÁTICA,1EF12_M,"Reconhecer valores convencionados de moedas ou de cédulas do sistema monetário brasileiro, em situações do cotidiano.",1,
1 ANO,MATEMÁTICA,1EF13_M,"Identificar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",1,
2 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,1,H 05
2 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,H 06
2 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (incial, medial, final) de palavras.",1,H 07
2 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08
2 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09
2 ANO,LÍNGUA PORTUGUESA,1EF12_P,Reconhecer o assunto de um texto ouvido.,1,H 11
2 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,1,H 12
2 ANO,LÍNGUA PORTUGUESA,1EF14_P,Reconhecer o gênero de um texto que circula no campo de atuação da vida cotidiana.,1,H 13
2 ANO,LÍNGUA PORTUGUESA,2EF06_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - mais de um complemento).",1,H 15
2 ANO,LÍNGUA PORTUGUESA,2EF07_P,"Localizar informações explícitas em textos, recuperadas por meio de repetição.",1,H 16
2 ANO,LÍNGUA PORTUGUESA,2EF10_P,Reconhecer o assunto de um texto quando o assunto está indicado no título.,1,H 18
2 ANO,LÍNGUA PORTUGUESA,1EF05_P,Reconhecer o local de inserção de uma palavra na ordem alfabética.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF06_P,Identificar rimas.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF07_P,"Identificar semelhanças entre sílabas (inicial, medial, final) de palavras.",1,
2 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF14_P,Reconhecer o gênero de um texto que circula no campo de atuação da vida cotidiana.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF15_P,Identificar a finalidade de um texto do campo de atuação da vida cotidiana.,1,
2 ANO,LÍNGUA PORTUGUESA,2EF06_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - mais de um complemento).",1,
2 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,
2 ANO,LÍNGUA PORTUGUESA,2EF11_P,Reconhecer o assunto de um texto quando o assunto é tópico do primeiro parágrafo.,1,
2 ANO,LÍNGUA PORTUGUESA,2EF15_P,"Reconhecer o personagem principal de narrativas ficcionais, quando o personagem é citado no título ou é tópico do primeiro parágrafo.",1,
2 ANO,LÍNGUA PORTUGUESA,2EF17_P,Reconhecer o gênero de um texto do campo de atuação artístico-literário.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,
2 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,1,
2 ANO,LÍNGUA PORTUGUESA,2EF06_P,"Ler frases (ordem direta, estrutura canônica: sujeito, verbo, objeto - mais de um complemento).",1,
2 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,
2 ANO,LÍNGUA PORTUGUESA,2EF11_P,Reconhecer o assunto de um texto quando o assunto é tópico do primeiro parágrafo.,1,
2 ANO,LÍNGUA PORTUGUESA,2EF13_P,Inferir informação em texto exclusivamente verbal.,1,
2 ANO,LÍNGUA PORTUGUESA,2EF14_P,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).",1,
2 ANO,LÍNGUA PORTUGUESA,2EF15_P,"Reconhecer o personagem principal de narrativas ficcionais, quando o personagem é citado no título ou é tópico do primeiro parágrafo.",1,
2 ANO,LÍNGUA PORTUGUESA,2EF17_P,Reconhecer o gênero de um texto do campo de atuação artístico-literário.,1,
2 ANO,LÍNGUA PORTUGUESA,2EF19_P,Reconhecer o efeito de sentido produzido pelo uso de recursos expressivos gráfico-visuais em tirinhas e histórias em quadrinhos.,1,
2 ANO,MATEMÁTICA,1EF07_M,Determinar termos ausentes em sequências de figuras.,1,H 48
2 ANO,MATEMÁTICA,1EF10_M,"Reconhecer figuras geométricas planas (círculo, quadrado, retângulo ou triângulo) desenhadas em diferentes disposições.",1,H 51
2 ANO,MATEMÁTICA,1EF12_M,"Reconhecer valores convencionados de moedas ou de cédulas do sistema monetário brasileiro, em situações do cotidiano.",1,H 53
2 ANO,MATEMÁTICA,1EF13_M,"Identificar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",1,H 54
2 ANO,MATEMÁTICA,2EF01_M,"Contar a quantidade de objetos de uma coleção contendo até 50 elementos, apresentando o resultado em registro numérico.",1,H 55
2 ANO,MATEMÁTICA,2EF02_M,"Comparar quantidades de objetos de duas coleções, contendo até 50 elementos cada, com suporte de imagens, indicando qual tem mais objetos e quantos a mais, qual tem menos objetos e quantos a menos ...",1,H 56
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,H 57
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",1,H 58
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",1,H 59
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",1,H 61
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",1,H 62
2 ANO,MATEMÁTICA,1EF10_M,"Reconhecer figuras geométricas planas (círculo, quadrado, retângulo ou triângulo) desenhadas em diferentes disposições.",1,
2 ANO,MATEMÁTICA,2EF01_M,"Contar a quantidade de objetos de uma coleção contendo até 50 elementos, apresentando o resultado em registro numérico.",1,
2 ANO,MATEMÁTICA,2EF02_M,"Comparar quantidades de objetos de duas coleções, contendo até 50 elementos cada, com suporte de imagens, indicando qual tem mais objetos e quantos a mais, qual tem menos objetos e quantos a menos ...",1,
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,1,
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",1,
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",1,
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",1,
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",1,
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",1,
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",1,
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,1,
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",1,
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",1,
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,1,
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",1,
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",1,
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,1,
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",1,
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",1,
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,1,
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",1,
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08
3 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09
3 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,1,H 12
3 ANO,LÍNGUA PORTUGUESA,1EF15_P,Identificar a finalidade de um texto do campo de atuação da vida cotidiana.,1,H 14
3 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,H 17
3 ANO,LÍNGUA PORTUGUESA,2EF11_P,Reconhecer o assunto de um texto quando o assunto é tópico do primeiro parágrafo.,1,H 19
3 ANO,LÍNGUA PORTUGUESA,2EF14_P,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).",1,H 20
3 ANO,LÍNGUA PORTUGUESA,2EF15_P,"Reconhecer o personagem principal de narrativas ficcionais, quando o personagem é citado no título ou é tópico do primeiro parágrafo.",1,H 21
3 ANO,LÍNGUA PORTUGUESA,2EF19_P,Reconhecer o efeito de sentido produzido pelo uso de recursos expressivos gráfico-visuais em tirinhas e histórias em quadrinhos.,1,H 22
3 ANO,LÍNGUA PORTUGUESA,3EF06_P,"Ler frases (sujeito, verbo, objeto direto e objeto indireto ou frase na ordem indireta).",1,H 26
3 ANO,LÍNGUA PORTUGUESA,3EF16_P,Reconhecer o gênero de um texto do campo da vida cotidiana.,1,H 29
3 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,
3 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,1,
3 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,
3 ANO,LÍNGUA PORTUGUESA,2EF11_P,Reconhecer o assunto de um texto quando o assunto é tópico do primeiro parágrafo.,1,
3 ANO,LÍNGUA PORTUGUESA,3EF01_P,Identificar variações de sons de grafema no caso de correspondências regulares contextuais entre grafemas e fonemas (c/qu,1, g/gu
3 ANO,LÍNGUA PORTUGUESA,3EF06_P,"Ler frases (sujeito, verbo, objeto direto e objeto indireto ou frase na ordem indireta).",1,
3 ANO,LÍNGUA PORTUGUESA,3EF09_P,Reconhecer o assunto de notícias quando o assunto é apontado pela manchete.,1,
3 ANO,LÍNGUA PORTUGUESA,3EF11_P,"Inferir informação em textos verbais, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.",1,
3 ANO,LÍNGUA PORTUGUESA,3EF15_P,"Reconhecer o tempo e o lugar de narrativas ficcionais, quando há pistas textuais que evidenciam esses elementos.",1,
3 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,
3 ANO,LÍNGUA PORTUGUESA,1EF13_P,Inferir informação em texto que articula linguagem verbal e não verbal.,1,
3 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,
3 ANO,LÍNGUA PORTUGUESA,2EF11_P,Reconhecer o assunto de um texto quando o assunto é tópico do primeiro parágrafo.,1,
3 ANO,LÍNGUA PORTUGUESA,2EF19_P),Reconhecer o efeito de sentido produzido pelo uso de recursos expressivos gráfico-visuais em tirinhas e histórias em quadrinhos.,1,
3 ANO,LÍNGUA PORTUGUESA,3EF01_P,Identificar variações de sons de grafema no caso de correspondências regulares contextuais entre grafemas e fonemas (c/qu,1, g/gu
3 ANO,LÍNGUA PORTUGUESA,3EF02_P,é o percentual de acerto nesta habilidadeIdentificar variações de sons de grafema no caso de correspondências irregulares entre grafemas e fonemas (j/g,1, c antes de e/i
3 ANO,LÍNGUA PORTUGUESA,3EF03_P,Identificar variações de sons de grafema no caso de correspondências irregulares entre grafemas e fonemas (sons do z - s/z/x,1, sons do s - ss/c/ç/sc/sç/x/xc).
3 ANO,LÍNGUA PORTUGUESA,3EF06_P,"Ler frases (sujeito, verbo, objeto direto e objeto indireto ou frase na ordem indireta).",1,
3 ANO,LÍNGUA PORTUGUESA,3EF09_P,Reconhecer o assunto de notícias quando o assunto é apontado pela manchete.,1,
3 ANO,LÍNGUA PORTUGUESA,3EF11_P,"Inferir informação em textos verbais, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.",1,
3 ANO,LÍNGUA PORTUGUESA,3EF15_P,"Reconhecer o tempo e o lugar de narrativas ficcionais, quando há pistas textuais que evidenciam esses elementos.",1,
3 ANO,LÍNGUA PORTUGUESA,3EF17_P,Reconhecer o gênero de um texto do campo da vida pública.,1,
3 ANO,LÍNGUA PORTUGUESA,3EF19_P,Identificar a finalidade de textos do campo da vida pública (cartazes de conscientização).,1,
3 ANO,LÍNGUA PORTUGUESA,3EF21_P,Reconhecer o efeito de sentido produzido pelos pontos de exclamação e interrogação.,1,
3 ANO,LÍNGUA PORTUGUESA,3EF23_P,Identificar o referente de pronomes pessoais do caso reto (anafórico) com referente próximo.,1,
3 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,1,H 60
3 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",1,H 61
3 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",1,H 63
3 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",1,H 64
3 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,1,H 65
3 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",1,H 66
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,H 67
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,1,H 68
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",1,H 69
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",1,H 71
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",1,H 76
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77
3 ANO,MATEMÁTICA,3EF01_M,"Comparar números naturais formados por até quatro algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,1,
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",1,
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,1,
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",1,
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,1,
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",1,
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,1,
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",1,
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",1,
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",1,
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",1,
3 ANO,MATEMÁTICA,3EF15_M,"Medir comprimento, capacidade ou massa, usando unidades de medidas padronizadas (metro, centímetro, milímetro, litro, mililitro, quilograma, grama ou miligrama).",1,
3 ANO,MATEMÁTICA,3EF02_M,Corresponder composições a decomposições de números naturais formados por até quatro algarismos.,1,
3 ANO,MATEMÁTICA,3EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até quatro algarismos.",1,
3 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,1,
3 ANO,MATEMÁTICA,3EF05_M,"Corresponder número natural, formado por até quatro algarismos, à sua escrita por extenso.",1,
3 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,1,
3 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",1,
3 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,1,
